Smell_Source	Smell_Word	Quality	Sentence	Year	Book
incense	odours	charming	Ah ! what to me the flow ' r - bespangled vales , * Whence charming mingled odours grateful rise , Swept from the bloom , by soft Favonian gales , * Kind Nature ' s incense breathing to the skies ? « Or what the peaceful , gliding , chrystal streams , « Where spreading alders form a cooling soade , ' Where oft , retiring from the fervid beams • Of Sol ' s meridian blaze , at ease I stray ' d ? ■ The tuneful songsters , thro ' the leafy groves , ♦ Unheeded now may pour their varied strains ; ' No more I seek the haunts which Fancy loves , ' Nor woodland soades , nor flock - spread sunny plains ! BEAUTIES OF POETRY .	1781	bl6509
incense	fragrance		, And wonder how he came to be a foe ; Whence Reconcilement will as incense rise , And waftjts fragrance tp th ' applauding skie ? , & lt ; ? * Po & amp ; 7ns on various Occasions .	1765	bl6554
cluster|d roses|incense - dropping	odour	vernal	' t & lt ; ( Come gentle Loves ! your myrtle garlands bring ; The smiling bower with cluster ' d roses spread ; Come gentle Airs ! with incense - dropping wing The breathing sweets of vernal odour shed .	1762	bl6555
steams|brisk Favonius ' incense - wafting wing	smutty|smutty|stifling|stifling|fragrance	smutty|smutty|stifling|stifling|richer	With Sol ' s celestial , fleecy curtains vie ? Can whirling dust , and smutty , stifling air , With azure skies , or breezy hills compare ? Or minol ' d steams a richer fragrance bring ; , Than brisk Favonius ' incense - wafting wing ? Can tinsel signs , and tawdry toy - shops please , Like flow ' ring hedge - rows , and the leafy trees ? Or endless jolts , o ' er rattling pavements drawn , kike smogthly swimming o ' er the silent lawn ? Can [ ] Then , sancy ' d paint on shady scat * His image in my mind , Or hear his voice in each retreat , Or feign his step behind ; But soon , at reasons wak ' ning call , The mimic phantasm flees ; His voice — was but a water - fall , His step — was but a breeze : Then , sorrow thrill ' d thro ' every part , My bosom swell ' d with sighs , A sudden gloom depress ' d my heart , And tears bedew ' d my eyes : But chiefly , now , when chilling fhow ' r , And cold ungenial blast , Have C 3 ' Twas not these scenes that pleas ' d alone I feel , since fate unkind Has fnatch ' d him hence ; for still I moan , Tho ' these are left behind : For , all the rural joys I share , I gladly could forego , Had fate but deign ' d my friend to spare , Or would again bestow .	1766	bl6574
purple hyacinths|with incense	Purfume		[ io3 ] And purple hyacinths , from their pendent bells Purfume with incense all the neio - hb ' rino - dells ; D « _ t ' And wood - anemonies , rob ' d in snowy white , Whose spotless beauty ' s ev ' ry grove ' s delight ; Their fairest turbans , here with pride display ' d , In rich profusion deck the lauo - hingr plade : 1 O O _ p But chief , the water - loving marygold , When all her thronging blossoms wide unfold , Each in a glosiy tunic gaily dr est , With cloth of tissue all the vale invest .	1766	bl6574
incense|incense	fragrant|fragrant incense|incense	fragrant|fragrant	And where the violet ' s sapphire vest Its fragrant incense shed .	1766	bl6574
grains Of fuming incense	odours	balmy	Low at his footstool bend his servile priests With holy fillets crown ' d ; and , featuring grains Of fuming incense o ' er the hallow ' d flame , 60 With balmy odours chear their fainting God .	1747	bl6613
cassia|frankincense|myrrh|the tributary|tributary incense	fragrant|fragrant	fragrant|fragrant|tributary|tributary	Approach and bring from Araby the blest The fragrant cassia , frankincense and myrrh , And meekly kneeling at the altar ' s foot Lay all the tributary incense down .	1756	bl6649
incense	smelling|smelling savour	sweet|smelling|smelling|grateful	All place , and distinction are now at an end , and the only heralds of their superior eminence , which alone will immortalize them , when imperial columns sink in ruins , and maible monuments are mouldered down to comr n clay , are the sweet - smelling savour os exemplary virtue , and the grateful incense of intnrjiic worth .	1753	bl6662
incense incense	smelling|smelling	sweet smelling|smelling	Oil is a figure of divine compassion ; wax extracted from a thousand thousand flowers , denotes the entire oblation of ourselves , ourselves , and a sacrifice of all we possess ; and incense incense is a type of the divine favour , and of the sweet smelling gift of the Spirit poured out upon all .	1785	bl6688
incense fling	fragrant|fragrant	fragrant|fragrant	Still by yon lamp that ssieds a gleam of light , Devoutly kneeling I will pass the night , Still near yon altar fragrant incense fling , Count o ' er my beads , and Hallelujah ' s sing , Till conscience satisfied may bring in peace , And even love oppos ' d to heaven , ssiall cease .	1793	bl6783
the sweet blossoms|their|incense	odours	spicy	So the sweet blossoms of salubrious spring Thro the lone wood their spicy odours fling ; Shrink from the sun , and bow their beauteous heads To scatter incense o ' er their native beds , While coarser flow ' rs expand with gaudy ray , Brave the rude wind , and mock the burning day .	1791	bl6821
thy incense	fumes	curling	Queen of the motley garb — at thy command Fashion waves her flow ' ry wand ; See she kindles Fancy ' s flame , Around her dome thy incense flies , The curling fumes ascend the skies , And fill the Trump of When Heaven ' s translucent ray Unveil ' d the mighty work of God ; When the Promethean spark of day Awoke his Image from a torpid clod ; d Enough for me , that to the listening swains First in these fields I sung the sylvan POPE .	1791	bl6821
incense	fragrant|fragrant	fragrant|fragrant	Rich Sabæan gums That altar pil ' d , and there with torch of pine The venerable Sage , now first descry ' d , The fragrant incense kindled .	1781	bl6835
from the flow|herbs|incense	odours|perfumes|fragrant|fragrant	morning|rich|fragrant|fragrant	The silver swans her hapless fate bemoan , In notes more fad than when they sing their own ; WINTER , A PASTORAL , 3 But In hollow caves sweet Echo silent lies , Silent , or only to her name replies , Her name with pleasure once she taught the shore , Now Daphne ' s dead , and pleasure is no more ! No grateful dews descend from ev ' ning skies , Nor morning odours from the flow ' rs arise ; No rich perfumes refresh the fruitful field , Nor fragrant herbs their native incense yield .	1787	bl6852
each herb|each tree|bloom|their|the mingled incense shed	fragrant|fragrant|perfume	fragrant|fragrant	5 Over earth , and sea , and sky , Bid thy airy heralds fly ; 10 With each balm which nature yields , From the gardens , groves , a , nd fields , From each fsow ' r of varied hue , From each herb that sips the dew , From each tree of fragrant bloom , Bid the gales their wings perfume ; And , around fair Celia ' s head , * S All the mingled incense shed : Till each living sweetness rise , Paint her cheeks , and arm her eyes , Mild as ev ' ning ' s humid ray , 20 Yet awful as the blaze of day .	1756	bl6906
incense	ardour|odours	sprightly|breathing	V / NE morn , when hoary Winter ' gan his reign , And fleecy showers had whiten ' d o ' er the plain , Young Daphnis , musing by his chearful fire , Pleas ' d , in his straw - crown ' d hut , attun ' d his lyre ; The crackling wood with sprightly ardour blaz ' d , While thro ' his little casement Daphnis gaz ' d , And thus he fang — ' Hail ! Winter , tho ' severe , * Thy charms are striking as the blooming year ; F How ABSENCE OF DAPHNE 43 ray , K _ _ Whilst other flow ' rs , less sweet , less lovely fair , With tow ' ring heads salute the ambient air - t Yet breathing odours rife profuse from all , Each offers incense at the morning ' s call .	1780	bl6926
Nature|incense	fragrant|fragrant	fragrant|fragrant	190 How sweet , indeed , is this calm hour of day ! Nature diffuses round her fragrant store , as grateful incense for her Maker ' s bounties .	1780	bl6926
Myrtles|Whose incense	fragrant|fragrant	fragrant|fragrant	WHEN ev ' ry tongue great George ' s praise recites , And loyal gratitude the verse indites ; May I , the humblest of the Muse ' s train , Presume to join them in the lofty strain ; Let me the dictates of my heart obey , Which thus to Charlotte bids devote the lay : Deign then , O ! Queen , to view this humble wreath , And on the flow ' ry toy acceptance breathe ; Myrtles , as fragrant as thy George ' s name , Whose incense rises on the wings of fame , Fresh i REFLECTIONS I N T H E ABSENCE OF DAPHNE .	1780	bl6926
of incense	odour		But human greatness is ssiort and transitory , as the odour of incense in the fire .	1792	bl6954
flames|The cedrine|incense	odorous|odorous|perfumes	odorous|odorous	Here had the nymphs prepar ' d a cedar sire , In odorous flames the crackling sweets aspire ; The cedrine billets all their perfumes shed , And rolled a cloud of incense o ' er their head .	1791	bl6957
incense	odor	thine	And breathe thine odor On her breast ; Yet envy not that iv ' ry shrine , Whose whiteness far furpasseth thine ; By nature ' s hand with incense spread , Whose sweetness far doth thine exeeed : Enough that thou enjoy ' st the seat * Where virtue and the graces meet .	1767	bl6971
Censers|With incense	perfume	rich	56 « « Wise Gems and flowers compose her crown , A di ' mond sceptre fills her hand ; Ascending now her iv ' ry throne , Obsequious vot ' ries round her stand : Censers , burning rich perfume , With incense fill the lofty room .	1798	bl62044
isles|incense	fragrant|fragrant	fragrant|fragrant	' Is this a dream , or vision of the brain , Where wav ' ring Fancy sports her mimic train ? 60 Or is it real ? — Ye Heavens ! forbid the truth , Ah , Laura ! spare an unexperiene ' d youth ! Let meck - ey ' d Mercy claim your yielding heart , And rule despotic o ' er the better part ; Let Love ' s soft power find entrance likewise there , 65 And Pity whisper — Spare your suppliant — spare ! Though happier rivals blest with fortune ' s smiles , May boast the wealth of India ' s fragrant isles ; Though Peru ' s mines for them unfold their stores , And ships waft incense from a thousand shores ; 70 Though for your fake all those they would forego , — If fate gave leave , intenser love I ' d shew : — Yes , Lately were published , by the same author .	1793	bl62045
The violet|spicy balm|Their|incense|their	odorous|odorous|perfume	odorous|odorous|rich	The violet and spicy balm combine Their odorous incense , and their rich perfume Fanned by the cooling breezes fills the air .	1796	bl62048
incense|devotion	foul|foul	meek|foul|foul	The gentle tribe now sought the hallow ' d fane , 115 Where warbling vestals pour ' d the choral strain : There aged Zorai , his Alzira prest With love parental , to his anxious breast : Priest of the fun , within the sacred shrine His fervent spirit breath ' d the strain divine ; 120 With glowing hand , the guiltless off ' ring spread , With pious zeal the pure libation shed ; Nor vain the incense of erroneous praise When meek devotion ' s foul the tribute pays ' 9 Vol .	1791	bl61024
incense|gale	odorous|odorous	odorous|odorous	276 Thro ' winding paths her sprightly envoys fly , Or watchful in the frontier fenses lie ; Brisk on the tongue the grateful gusto greet , And thro ' the nerves return the ideal sweet ; 280 Or incense from the nostrils gate exhale , And to their goddess waft the odorous gale ; Ver .	1792	bl61031
sorine|incense	fragrant|fragrant	fragrant|fragrant	Lo , to deck thy hallow ' d sorine , The seasons and each element combine 3 All from their secret hoards prepare , Gifts that most precious are , and rare 3 For fragrant incense blest Arabia ' s soores Send cassia , nard , and all her balmy stores .	1778	bl61033
Roses|purple violets|the flowers|incense|Carnations|narcissuses|flowers|garlands|garlands	fragrant|fragrant|essence|garlands|garlands	fragrant|fragrant|balmy|rich	* Shall each in humid grief a branch bequeath ic To deck thy hearse , and form the funeral wreath ; tc Roses and purple violets of the field , And all the flowers that fragrant incense yield , Carnations gay that boast their crimson hue , And pale narcissuses that drink the dew , The nymphs shall gather , and with pious care A balmy essence for thy limbs prepare ; Whilst some shall strew thy grave with flowers around , And with rich garlands dress the hallow ' d ground * Alas ! from ev ' ry flower it ' s hues are fled , t { The stalks are wither ' d , and the sweets are dead , The lovely youth for whom those sweets thejr bore « c Alexis , hapless shepherd ; is no more ! Rever ' d by every other power divine Ah ! what dire wrath could move the God of wine - ^ Perish the rites which to his shrine belong , The midnight revels , and the festal song ; Tell us no more of rich Burgundia ' s * Hills , & lt ; c And juice that every sense with rapture fills , ; cc Thy loss , Alexis ( mushrooms of a day ) Can Gaul with all her silken sons repay ? u They * Churchill died in France of a surfeit from drinking .	1778	bl61033
all the incense of the breathing spring|spicy clouds|Carmel '|ry	perfumes		Swift fly the years , and rise th ' expected morn ! Oh spring to light , auspicious Babe , be born ! See Nature hastes her earliest wreaths to brine - With all the incense of the breathing spring : See lofty s Lebanon his head advance , See nodding forests on the mountains dance , See spicy clouds from lowly Saron rise , And Carmel ' s flow ' ry top perfumes the skies ! Hark ! a glad voice the lonely desart chears ; Prepare the 6 way ! a God , a God appears ; & gt ; Cap .	1717	bl61041
spice|incense	fragrant|fragrant	fragrant|fragrant	Burnt clouds of inccnje on your loaded altars ? — let altars smoke , And richest gums , and spice , and incense roll Their fragrant wreaths to heaven .	1796	bl61042
of incense|wasted citron	fumes|scents		These are excellent verses indeed ; and may owe some obligations to a very animated and poliseed passage in Tickell ' s Prospect of Peace : Now o ' er his head the polar bear he spies , And freezing spangles of the Lapland fcies ; Now swells his canvas to the sultry line , With glittering spoils where Indian grottos seine , Where fumes of incense glad the southern seas , And wasted citron scents the balmy breeze .	1796	bl61042
from incense|smoke from coals	odour		As 83 As water from art eminence descends , As cork floats in it , as flame upward sends , As odour springs from incense , smoke from coals , As owls love solitude , as herrings shoals , As birds their hairy houses build in trees , As wasps fuck honey , and as flow ' rets bees , As toasts delight in public to be seen , As the bowl rolls along the level green , As children ' s little minds are fix ' d on fruit , Bishops on ease , and bigots on dispute , As critics true on Aristotle dote , As yea and nay the Quakers meek denote , As the smooth mirrors to the face is true , Punning and pleasantry they have in view , Dear as to maiden seventy beauty ' s name , To Poet dreams of universal fame .	1790	bl61050
frankincense|frankincense	frankincense|frankincense|perfumes		His works and those of his followers will , of course , supersede supersede the infinite number of folios , which , to use the expressions of Horace , may be sent to wrap up frankincense and perfumes , the only way in which they can now be useful .	1787	bl61058
cluster ' d roses|with incense - dropping wing	odour	vernal	' Come , gentle loves ! your myrtle garlands bring ; ' The smiling bow ' r with cluster ' d roses spread ; « Come , gentle airs ! with incense - dropping wing , « The breathing sweets of vernal odour soed .	1781	bl61072
columns of ascending smoke|From incense	fragrant|fragrant	fragrant|fragrant	On vonder spot the sacred altar stood , - Whence fragrant columns of ascending smoke , From incense burning to the hallow ' d rood , Mingled with vivid flames , incessant broke : Here , tutelary saints in painting shone , And worfhipp ' d martyrs stood engrav ' d in stone .	1786	bl61107
cassia|frankincense|myrrh|the tributary incense	fragrant|fragrant	fragrant|fragrant	Approach and bring from Araby the Blest , The fragrant cassia , frankincense , and myrrh , And meekly kneeling at the altar ' s soot Lay all the tributary incense down .	1787	bl61147
cassia|nard|myrrh|sorubs|incense - breathing gums	perfumes	rich	Lo there , diffus ' d along the sacred brink , Angelic choirs replete with love and joy , Conceive their God , and from his presence drink Beatitude past utt ' rance ! — There they lie On flow ' ring beds of balsam , cassia , nard , And myrrh , a wilderness of rich perfumes ; Embalm ' d they lie , like that Arabian bird , ' Midst od ' rous sorubs , and incense - breathing gums , * Rev .	1787	bl61147
Shrines With Frankincense|Myrrh|Breath Of Araby	odoriferous|odoriferous|fragrant|fragrant	odoriferous|odoriferous|fragrant|fragrant	No longer fmoak ' d his odoriferous Shrines With Frankincense and Myrrh , the fragrant Breath Of Araby ; nor bleeding Hecatomb Distain ' d his blusoing Altars .	1787	bl61147
The Flowers|of Incense|Amber - grease|Pulvillio ' s|Pulvillio ' s	perfumed|Smells		The Flowers perfumed the Air with Smells of Incense , Amber - grease , and Pulvillio ' s ; Pulvillio ' s ; and were so interwoven with one another , that they grew up in Pieces of Embroidery .	1766	bl61150
Cedar|frankincense|the	perfum ' d		Large was the Grot , in which the nymph he found , ( The fair - hair ' d nymph with ev ' ry beauty crown ' d ) She fate and fung ; the rocks resound her lays : The cave was brighten ' d with a rising blaze : 7s Cedar and frankincense , an od ' rous pile , Flam ' d on the hearth , and wide perfum ' d the Isle ; While she with work and song the time divides , And thro ' the loom the golden shuttle guides .	1725	bl61158
incense	fragrant|fragrant	fragrant|fragrant	Far other rites employ ' d their mind , Highly selected from the vulgar world , The great Jehovah ' s praise they sound , How out of darkness at his word Up soot the lucid beam ; how flood Roll ' d in fierce eddies off the land ; And the green sward Fscriferous S team ' d fragrant incense to the holy skies .	1784	bl61175
incense	fragrant|fragrant	fragrant|fragrant	And last , we , to all bounteous Heaven , our daily tribute yield ; Taught by the fragrant incense breath ' d from every grateful field .	1792	bl61226
its|incense	breath|fragrant|fragrant	fragrant|fragrant	That breath ' d its fragrant incense on the throne , And made the Monarch ' s glory all their own .	1791	bl61262
the violet|incense	fragrant|fragrant	fragrant|fragrant	Mark ' d where the snow - drop ' s silver crest Shot forth his daring head , And where the violet ' s sapphire vest Its fragrant incense shed .	1764	bl61354
the primrose|purple hyacinths|with - incense|wood - anemonies	Perfume		O 3 3 And 6 9i 3 And first , the primrose clad in yellow pale , And violets blue their od ' rous sweets exhale ; And purple hyacinths , from their pendent bells , Perfume with - incense all the neighb ' ring dells ; And wood - anemonies , rob ' d in snowy white , Whose spotless beauty ' s ev ' ry grove ' s delight ; There fairest turbans , here with pride display ' d , In rich profusion deck the laughing glade .	1764	bl61354
Your incense	fragrance		Five hundred captives Beheld the morning fun , whose eyes no more Shall open to the light — Your incense now On this fair altar , sacred to the Power Of Love , heap largely ; till the clouds ascend In fragrance to his godhead .	1792	bl61359
incense	stink		207 Is Wealth in the gross is death , but life diffus ' d ; As poison heals , in just proportion us ' d : In heaps , like ambergris , a stink it lies ; But well difpers ' d , is incense to the skies .	1781	bl61383
With all the incense of the breathing|spicy clouds|Carmel ' s|ry top	perfumes		Swift fly the years , and rise th ' expected morn ! Oh , spring to light ! auspicious Babe , be born ! See Nature hastes her earliest wreaths to bring , With all the incense of the breathing spring : See lofty Lebanon his head advance , See nodding forests on the mountains dance ; See spicy clouds from lowly Saron rise , And Carmel ' s fiow ' ry top perfumes the skies ! 3 E 2 BEAUTIES OF POETRY .	1781	bl61383
herbs|incense	fragrant|fragrant|odours	fragrant|fragrant|sweet	No bloody feasts his sacrifice composed ; But fragrant herbs and incense pure imposed , With odours sweet impregnating the gales , The strong devotion of his soul disclosed .	1796	bl61560
in the incense of adulation	odour	grateful	Is it , by the way , then , to be wondered at , that a private individual , like Samuel Johnson , soould be even preposterously elated at finding that homage paid to him , which has been in vain solicited by sovereigns , and is refused even to the King on his throne ? Graduated by universities , pensioned by his prince , and surrounded by pedagogues and poetasters , he finds a grateful odour in the incense of adulation ; while admiring booksellers stand at a distance , and look up to him with awful reverence , bowing the knee to Baal , and holding in fearful remembrance the exemplary fate of Tom Osoorne ; presumptuous Tom Osoorne ! who , braving the vengeance vengeance of this paper - crowned idol , was , for his temerity , temerity , transfixed to his mother - earth by a thundering - folio ! It may be a pity to disturb Dr .	1765	bl61611
sweet|sweet incense	fragrance	sweet|sweet	\ - of sweet incense to hfeaven take wing , And Muses conjoin ' d with harmony sing ; Tho ' fragrance and music will pleasure afford , ' Tis Concord alone can make blissful the chord .	1786	bl61691
pure incense	fragrance	sweet|early	WThat countless fun - beams glisten as I pass ! How sweet the early fragrance , as the dew Rises with morn ' s pure incense to the skies ! The mount is still before me , and my feet Must tread the mazy circuit , rough and steep , Ere I obtain the summit , but the view , 65 70 Spacious and grand , shall well repay the toil .	1798	bl61744
of incense	odour		But human greatness is ssiort and transitory , as the odour of incense in the fire .	1796	bl61750
incense|Tea|Delicious incense	fragrant|fragrant	fragrant|fragrant	2 3 * & gt ; * 35 ■ Ms * ? 245 Let Zt T HEB AS BLEl ) : Rise , incense pure from fragrant Tea , Delicious incense , worthy Thee ! Hail , Conversation , heav ' nly fair , Thou bliss of life , and balm of care f Call forth the long - forgotten knowledge Of school , os travel , and os college ! For thee , best solace of his toil ! The sage consumes his midnight oil j And keeps late vigils , to produce ■ Materials for thy suture use .	1787	bl61756
Incense|Incense	scent|Odours	rich|fragrant|sweet	The flow ' ry Blossoms on high Branches rise , And with rich Incense scent the ambient Skies ; Thro ' distant Fields the fragrant Odours spread , And with sweet Incense fill the flow ' ry Mead ; But big with Expectation to enjoy , Some sudden Blast does all the Fruit destroy .	1742	bl61774
The incense of a vow|of sin	smell		ling before this ruin of sweet life , And breathing to this breathless excellence The incense of a vow , a holy vow ; For I am stifled with this smell of sin .	1784	bl61792
incense	fragrant|fragrant	fragrant|fragrant	1 O hail the birth of chearful day , Each work of Nature grateful vies ; The warblers pour their matin lay , The flow ' rs bid fragrant incense rise .	1794	bl61809
the sweet blossoms|their|incense	odours	spicy	So the sweet blossoms of salubrious spring Thro the lone wood their spicy odours fling ; Shrink from the sun , and bow their beauteous heads To scatter incense o ' er their native beds , While coarser flow ' rs expand with gaudy ray , Brave the rude wind , and mock the burning day .	1791	bl61818
cluster|d|with incense - dropping wing|vernal|vernal	odour	vernal|vernal	, ' Come , gentle loves ! your myrtle garlands bring ; « The smiling bow ' r with cluster ' d roses spread ; * Come , gentle airs ! with incense - dropping wing , • The breathing sweets of vernal odour Ihed .	1781	bl61838
columns of ascending smoke|From incense	fragrant|fragrant	fragrant|fragrant	On yonder spot the sacred altar stood , Whence fragrant columns of ascending smoke , From incense burning to the hallow ' d rood , Mingled with vivid flames , incessant broke : Here , tutelary saints in painting shone , And worfhipp ' d martyrs stood engrav ' d in stone .	1786	bl61879
blooming flowers|incense	Fragrant|Fragrant	Fragrant|Fragrant	But when I sing the power os love , Melody delights the grove , Fragrant blooming flowers arise , Breathing incense to the skies ; Soft as evening zephyrs blow The ambling easy numbers flow , And by this proof convinced , I see , O Love ! I have no Muse but thee .	1774	bl61882
incense	stink		in function greatest , yet was least I When all were gather ' d in the hallow ' d rails , Bob , from a basket , topsy - turvy hails ! * ' We ' re here assembl ' d on the noblest schemes , , To mourn great Douglass , Wheat her by , and Whemes ; * ' And lay the ghost of Devenpot that stalks , And freights the Watchmen in their midnight walks ; And bind Miss Cajsel ' % ever restless soul , Who shocks the Hum — hums with her cloister ' d howl ; And to exhort each godly pious whore , To live , and die , as they have done This said , he took the pot from Gifford ' s head , And o ' er a crazy stall , the incense spread ; Which Buckhursl sir ' d , — by order , with his link , And thro ' the mob , the wind diffus ' d the stink ; When lo ! again the priest , dread silence broke , And thus renew ' d his grating , dismal croak : * ' Earth lightly lay ; — thou world revere their names , And justice do their morals , and their Whores , Bawds , and Bunters , Panders , Boys , and Men , In cadence hoarse , re - bellow out — Amen .	1765	bl61932
incense	fragrant|fragrant	fragrant|fragrant	23 A MORNING THOUGHT 1 O hail the birth of chearful day , Each work of Nature grateful vies ; The warblers pour their matin lay , The flow ' rs bid fragrant incense rise .	1794	bl61998
incense	fragrant|fragrant	fragrant|fragrant	For others let the fragrant incense burn , Wafted from adulation ' s flaming urn ; Unaw ' d by menaces , unwarp ' d by praise , Proud sterling virtue seeks no borrow ' d bays ; While Genius , tow ' ring on its throne of light , Shines , in its own transcendent lustre , bright ; The flame it feels through kindred bosoms spreads ^ And wide the intellectual radiance sheds , As yon bright orb that lights the distant pole , And warms the glitt ' ring spheres that round it roll , Exhaustless , flames with undiminish ' d beam , Nor misses from its fount th ' immortal stream .	1803	bl236
the incense	perfumes		He had just taken down from them a fillet embroidered Avith crowns and victories / At first Ave could scarcely discern the objects around us , for the incense aud other perfumes burning there filled the place Avith a thick smoke .	1806	bl272
