Smell_Source	Smell_Word	Quality	Sentence	Year	Book
of roast meat and tobacco	scent		When they are sufficiently sufficiently animated to advance , lead them in exact order , with fife , and drum , to that fide whence the wind blows , till they come within the scent of roast meat and tobacco .	1792	bl6664
coffee|houfe|Of loath ' d tobacco|Indian bowl	breath|fragrant|fragrant	grateful|fragrant|fragrant	Videte tamen , quid - in hac praslectione pri - 185 The cheerful cup , nor hear with hopelefs heart New oyflers cry ' d ; — tho ' much the Poet ' s friend , Ne ' er yet attempted in poetic flrain , Accept this tribute of poetic praife ! Nor Proctor thrice with vocal heel alarms 55 Our joys fecure , nor deigns the lowly roof Of Pot - houfe fnug to vifit : wifer he The fplendid tavern haunts , or coffee - houfe Of James or Juggins , where the grateful breath Of loath ' d tobacco ne ' er diffus ' d its balm ; 60 But the lewd fpendthrift , falfely deem ' d polite , While fleams around the fragrant Indian bowl , Oft damns the vulgar fons of humbler Ale : In vain — the Proctor ' s voice arrefls their joys ; Jufl fate of wanton pride and loofe excefs ! 65 Nor lefs by day delightful is thy draught , All - pow7 ' rful Ale ! whofe forrow - foothing fweets Oft I repeat in vacant afternoon , When tatter ' d { lockings afk my mending hand Not unexperienc ' d ; while the tedious toil 7o Splendid Shilling : He nor hears with pain New oyftcrs cried , nor fighs for cheerful ale .	1699	bl6742
of tobacco	whiff		Withmy jug in one hand and my pipe in the other , I drink to my neighbour and friend ; My cares in a whiff of tobacco I smother , For life I know shortly must end : While Ceres most kindly re - fills my brown jug , With good ale I will make myself mellow ; In my old wicker chair , I will seat myself snug , Like a jolly and true happy fellow .	1787	bl6983
of tobacco	fmell		Zounds , man ! don ' t take your pipe with you ; women hate the fmell of tobacco worfc than a water - fide warehoufe .	1779	bl62007
of Tobacco	Smell		But , hark ye , Friend , are the Women as tame and civil as they were before I left the Town ? Can they endure the Smell of Tobacco , or vouchsafe a Man a Word with a dirty Cravat on ? T .	1721	bl61014
Fellow ' s Breath|of|of Tobacco	stinks		That Fellow ' s Breath stinks of Tobacco .	1710	bl61054
of Tobacco	whiffs		? Gill Will ye give me leave ro rake two or three whiffs of Tobacco .	1701	bl61271
of|of Tobacco	fmells		Sir Sam - O Lord , Sir ! you are pleased to complement ! Ah , lying Rogue , my breath fmells of Tobacco .	1704	bl61280
of your tobacco	fmoke	altogether	Pardonnez , mon Colonel , but it mufl be confelTed confelTed that the fmoke of your tobacco is altogether infupportabl infupportabl — my nerves are moft fenfib ' ly affefted with it — * my clothes muft be hung a month at leaft in the open air to purify them — and I affure you , mon Colonel , it even .	1798	bl61330
of their nauseous tobacco	smell		Oh the Goths and the Huns ! I believe the smell of their nauseous tobacco will never leave my nostrils .	1798	bl61384
of his tobacco	smell|stink	very	I hope my master will give him a sound beating , for I know well enough it is that knave Robert ; I could smell the very stink of his tobacco as he claw ' d me in the passing .	1798	bl61384
tobacco	stinking|stinking	stinking|stinking	This stinking tobacco kills men .	1798	bl61593
loath ' d tobacco|Indian bowl	breath|fragrant|fragrant	grateful|fragrant|fragrant	Of classic leaf with every crown , Each olive , meed of old renown , Each ancient wreath , which Athens wove , I ' ll bid her blooming bow ' rs abound ; 147 Nor Proctor thrice with vocal heel alarms Our joys secure , nor deigns the lowly roof Of Pot - house snug to visit : wiser he The splendid tavern haunts , or coffee - house Of James or Juggins , where the grateful breath Of loath ' d tobacco ne ' er diffus ' d its balm ; But the lewd spendthrift , falsly deem ' d polite , While steams around the fragrant Indian bowl , Oft damns the vulgar sons of humbler Ale : In vain — the Proctor ' s voice arrests their joys ; Just fate of wanton pride and loose excess ! Nor less by day delightful is thy draught , All - pow ' rful Ale ! whose sorrow - soothing sweets Oft I repeat in vacant afternoon , When tatter ' d stockings ask my mending hand Not unexperienced ; while the tedious toil Slides unregarded .	1791	bl61810
Tobacco	Perfume		H THE 73 And with Tobacco whists Perfume , At once thy Nostrils and the Room : And hide those nasty Sents that rise From Rotten Teeth , and Running Eyes , And Issues in thy Arms and Legs , To lengthen Life ' s uneafie Dregs .	1709	bl61991
of strong tobacco|of certain cooked messes|onion	reek|savour|appetising|appetising	appetising|appetising	They had sufficient consideration for the ladies to leave their apartments undisturbed , after exacting a promise that no advantage should be taken of their politeness ; but the reek of strong tobacco smoked about the house penetrated even to the harem , mingled with the savour of certain cooked messes , in which appetising onion certainly predominated .	1807	bl252
from stinking|stinking|stinking lea - ther|bunches of onions|butchers ' meat|fumes of tobacco|dregs of Avine|gin|Cape brandy|Avas	odours|stinking|stinking|stinking|foul|foul|pestilential	mingled|stinking|stinking|stinking|foul|foul	The heat of the weather , the closeness ofthe room , Avhich had only one small aperture to admit the light , added to the mingled odours arising from stinking lea - ther , bunches of onions , butchers ' meat SAvarming with flies , fumes of tobacco , dregs of Avine and gin and Cape brandy , standing in pools on the clayed floor ; in a Avord , such a con - gregation of foul and pestilential Avas sufficient to nauseate stomachs much less squeamish than ours .	1806	bl256
a slice|cake|of tobacco	whiff		By way of auxiliary to this heat , the men all smoke , and take alternately a sup of tea , a slice of biead , or cake , and a whiff of tobacco .	1802	bl2255
mild tobacco	Whiff|vapour		Beneath whose weapon hapless Curate Bleeds ( ah , what Rector could endure it ! ) As oft as Saturday recurs And fees subaltern rev Sirs , Met by hebdomadary charter , Bristles retrench , and sermons barter , Read Anti - jacobin news paper , Whiff mild tobacco ' s friendly vapour , And , hopeless of Vicarial Port , To Cerevisian draught resort To lubricate and wet their whistles For reading Gospels and Epistles .	1799	bl2302
of tobacco shot	whiff		It will hold from six to eight people with ease — but as the admission of a single Dutchman would fill it with smoke ( a pipe being always supposed welcome , insomuch insomuch that Love me love my pipe is a Dutch proverb , proverb , answering to Love me love my dog in our country ) , it will be always the safest way to hire the roof , that is the whole cabin — for which you apply apply to the commissary , who lets it to you , if not taken , for an expence well worth incurring till you are thoroughly snwke - dried — which , if you become , become , as I am , a residentiary traveller , you will soon be , and no more regard a whiff of tobacco shot at you than a sea - breeze .	1802	bl2305
from powdered tobacco	odour|scent	agreeable	Cloth , or Nankeen pantaloons , a white waistcoat , waistcoat , soiled shirt , and neckcloth , fine as cambric , with a gold pin , and a great coat with half boots , constitute the modish attire of the men at Paris ; their heads repose on a cravat , which serves as a bolster , or as a grave to bury their unslaved chins ; whilst the agreeable odour from powdered tobacco , with which they scent their nostrils , assails us at every step .	1803	bl2404
tobacco	odor		The intervals of leisure were devoted to smoaking tobacco , mixed with odor .	1808	bl2463
the|the|with the smoke of tobacco	whiff		Three or four priests rush into the center of the circle , and separately whiff the dancers with the smoke of tobacco from their tubes , saying at the same time to each , receh - e the spirit of force , that thou mayst be enabled to overcome thine The natives of North America , pay no honours to the stars and planets , nor to fire , Avhich has generally been held sacred by most of those nations accustomed to its use ; nor to any animated divinity which they might be obliged to nourish .	1807	bl2466
of the tobacco of Syria	fumes		The beautiful women , accordingly , take pleasure in amusing their vacant time , by pressing the amber with their rosy lips , and in gently respiring the fumes of the tobacco of Syria , embalmed with those of aloes .	1807	bl2495
of tobacco	whiffs		With the pipe in one hand , a cup of coffee in the other , they slowly wash down every four or five whiffs of tobacco , with a gulp of coffee .	1807	bl2495
the smoke|from their tobacco - pipes	whiff		Some are , perhaps , as regardless of the honour of their family , as the smoke they whiff around from their tobacco - pipes ; indeed , a pupil of Godwin ' s Godwin ' s school , could not display , on these occasions , a more phylosophic coolness and indifference .	1806	bl2518
the|aloes wood with|the tobacco	odoriferous|odoriferous|scented	odoriferous|odoriferous	In the first place , the tobacco of Turkey is the best and the mildest in the world ; it has not that acrid taste which in our countries provokes provokes a continual spitting ; then the length of the ssianks , in which the smoke rises , the odoriferous nature of the wood of which they are made , the amber tube that is held in the mouth , the aloes wood with which the tobacco is scented , contribute to make it still milder , and to render the smoke of it not unpleasant in a room .	1800	bl2657
the smoke of Syrian tobacco	inhaling|perfumed|perfumed	perfumed|perfumed	Even the beautiful women are fond of passing their time in pressing the yellow amber with their rosy lips , and gently inhaling the smoke of Syrian tobacco , perfumed with that of aloes .	1800	bl2657
of coffee|of tobacco	whiffs	few	With a pipe in one hand , and a dissi of coffee in the other , they slowly swallow a mouthful of coffee , which is succeeded by a few whiffs of tobacco .	1800	bl2657
of tobacco	odour	pleasant	I have not yet familiariz ' d myself to the pleasant odour of tobacco , and not a single move at backgammon do I know , so help me truth .	1804	bl2784
of tobacco	smell		No traveller will find a dirty bed in the worst Dutch inn ; nor , except the smell of tobacco which impregnates all the rooms and furniture , furniture , and the spitting - pots placed on the tea - PREFACE .	1807	bl2968
of tobacco|of tobacco	whiff|whiff		97 And makes him of politics crack - o ; The lawyers i ' th ' hall Were not able to bawl , Were it not for a whiff of tobacco ; The man whose chief glory Is telling a story , Had never arriv ' d at the knack - o & gt ; Between ev ' ry heying , And as I was saying , Did he not take a whiff of tobacco .	1806	bl2974
tobacco	perfume	other	123 no other perfume than tobacco , dainties which they themselves t & gt ; ring , and some fruits of the season : this is to restore the body and gratify the senses .	1801	bl2977
smoke of tobacco	smell		We more than , once entertained ourselves with an experiment of putting a scorpion into a glass vessel , and injecting a little smoke of tobacco , and immediately by stopping it sound that its aversion to this smell is such , that it falls into the most furious agitations , till , giving itself several repeated stings on the head , it finds relief by destroying destroying itself .	1807	bl21076
of roast meat and tobacco	scent		When they are sufficiently sufficiently animated to advance , lead them in exact order , with fife and drum , to that side whence the wind blows , till they come within the scent of roast meat and tobacco .	1806	bl21137
from|bunches of onions|butchers ' meat|fumes of tobacco|dregs of wine|gin|Cape brandy	odours|stinking|stinking|foul	mingled|stinking|stinking	The heat of the weather , the closeness ofthe room , which had only one small aperture to admit the light , added to the mingled odours arising from stinking lea - ther , bunches of onions , butchers ' meat swarming with flies , fumes of tobacco , dregs of wine and gin and Cape brandy , standing in pools on the clayed floor ; in a word , such a con - gregation of foul and pestilential was sufficient to nauseate stomachs much less squeamish than ours .	1806	bl21239
of tobacco	smell		Barnard was a bad smoker — a wretchedly bad smoker , — but he declared he relished exceedingly the smell of tobacco : and so Ealph Deering blazed away , after almost compelling his companion to mix a glass of brandy and water .	1807	bl21283
Tobacco	whififler		& # 34 ; Again , in Weflward Hoe , 1607 : 44 The torch - men and whiflflers had an item to receive Again , in TEXNOfAMIA , 1618 : 44 Tobacco is a whififler , 44 And cries huff fnuff with furie ; 44 His pipe ' s his club and Sec .	1799	bl21288
of the tobacco	odour odour		Holcroft accounts accounts for himself not being so violently affected , in the following words : We had lived two years among these eternal smokers , and whether I returned from the coffee - house , the dining - hall , or the friendly parlour , I always brought the odour odour of the tobacco impregnated in my coat ; says he , Louisa and Fanny were not reconciled to the The day was clear , and the country before them a dead flat .	1804	bl21317
coffee|sweetmeats|of tobacco	whiff		— A compliment of keff - keff ac ( are you happy ? ) coffee , coffee , a pipe , sweetmeats , and rose water , constitute the whole entertainment , entertainment , unless the great man should for a moment deprive his mouth or nostrils of their favorite gratification , a whiff of tobacco , and condescend to ask some childish question respecting the infidels ' country ; to the answer to which , if favorable , he refuses refuses all belief .	1805	bl21364
of gin and tobacco	smell	disagreeable disagreeable	The first stone , - with stone , - with a suitable inscription , was then laid , and seven years afterwards , the different colleges 216 TOUR THROUGH The debtors ' apartments were less neat and orderly than the felons , and I felt a disagreeable disagreeable smell of gin and tobacco .	1801	bl21382
tobacco tobacco|its	fumes		This notion has perhaps contributed to the use of tobacco in Holland , by furnissiing its votaries with something like an apology for their practice ; but the majority of smokers doubtless use tobacco tobacco for the narcotic , stupifying effects , which its fumes produce .	1801	bl21382
of tobacco	odour	pleasant	I have not yet familiariz ' d myself to the pleasant odour of tobacco , and not a single move at backgammon clo I know , so help me truth .	1804	bl21383
from stinking|stinking|stinking leather|leather|bunches of onions|butchers ' meat swarming|fumes of tobacco|dregs of wine|gin|Cape brandy	odours|stinking|stinking|stinking|foul	mingled|stinking|stinking|stinking|pestilential	The heat of the weather , the closeness of the room , which had only one small aperture to admit the light , added to the mingled odours arising from stinking leather , leather , bunches of onions , butchers ' meat swarming with flies , fumes of tobacco , dregs of wine and gin and Cape brandy , standing in pools on the clayed floor ; in a word , such a con gregation of foul and pestilential were sufficient to nauseate stomachs much less squeamiso than ours .	1801	bl21388
balm|tallow|tobacco|ginger|plants	odoriferous|odoriferous	odoriferous|odoriferous	It furnishes them with wool , cotton , sugar , silk , cochineal , chocolate , feathers , honey , balm , woods for dying , salt , tallow , tobacco , ginger , odoriferous and medicinal plants , amber , pearls , precious stones , gold , and silver .	1800	bl21482
of tobacco juice|fish|of the natives	effluvium|smell	most powerful|natural	It is these latter only that sing , if that monotonous monotonous and inharmonious noise which I heard on entering may be called singing , where every one strained his throat to the utmost , and gave out at the same time a most powerful effluvium of tobacco juice , which , mixing with the natural fish - like smell of the natives , rendered my stay among them in such a confined place by no means agreeable .	1811	bl781
tobacco	odours	many unpleasant	If he can smoke , tobacco , used moderately , may preserve him from dangerous infection , and the many unpleasant odours to which he will be exposed : it will moreover counteract the consequences of continual travelling and want of rest , repel vermin , and offer a resource in long fasting , upon dusty plains , on lakes , rivers , unwholesome marshes , and beneath chilling dews .	1810	bl7121
of tobacco	fumes		Some Turks , who were present , seemed absolutely breathing the fumes of tobacco .	1810	bl7121
the smoke of tobacco|thereof	stink		And for the vanities committed in this filthy custom , is it not both great vanity and uncleanness , that at the table , a place of respect , of cleanliness , of modesty , men should not be ashamed to sit tossing of tobacco pipes , and passing passing of the smoke of tobacco one to another , making the filthy smoke and stink thereof to exhale athwart the dishes and infect the air , when , very often , men that abhor it are at their repast ? Surely smoke becomes a kitchen far betcer than a dining - chamber ; and yet it makes a kitchen also , oftentimes , in the inward parts of men , soiling and infecting them with an unctuous and oily kind of soot , as hath been found in some great tobacco - takers that , after their death , were opened .	1811	bl7294
with tobacco	infumed		And is it not a great vanity , that a man cannot heartily heartily welcome his friend now , but strait they must be infumed with tobacco ? No , it is become , in place of a cure , a point of good fellowship ; and he that will refuse refuse to take a pipe of tobacco with his fellows ( though by his own election he would rather feel the savour of a sink ) is accounted peevish , and no good company company ; even as they do with tippling in the cold Eastern countries .	1811	bl7294
of burning tobacco	odour	mere|rather agreeable|intolerable	The mere odour of burning tobacco is rather agreeable than otherwise to most people ; but , when the air is loaded with the smoke , and the lungs are afflicted wilh it at every inspiration , it becomes intolerable .	1812	bl7387
The fumes of the punch and tobacco|of snuffs of candles	effluvia|fragrance	most delightful	The fumes of the punch and tobacco , Avith the effluvia of snuffs of candles sunk into the sockets , must certainly produce produce a most delightful fragrance .	1813	bl7388
of the tobacco plant	fumes		The disagreeable effects of these strong esculents are , however , somewhat somewhat checked by the fumes of the tobacco plant , which they are smoking from morning to night .	1813	bl7633
of stale tobacco fumes	smelling	most unpleasantly	When we arrived at the Consul ' s house , we found sittifig in a little hot close room , smelling most unpleasantly of stale tobacco fumes , a short corpulent man , about fifty years osage , who began talking to us very loud , as people often do with foreigners , believing them to be deaf : he announced himself to us as our host ; and , from the appearance of everything around him , we expected indifferent accommodation .	1810	bl7650
tobacco	odours|perfume		This air of dirty gloom , accompanied in little German towns and villages , by an atmosphere impregnated with odours , among which tobacco is a perfume , is singularly singularly contrasted with the decent dress and demeanour of the inhabitants .	1818	bl7778
fumes|fumes of tobacco	fumes|fumes|perfume		The assembly rooms , which form part of the edifice , are only opened on occasions of balls and evening societies and are kept sacred from the fumes of tobacco , which frequently perfume ii 3 389 AN ENGLISH ACTOR .	1818	bl7778
the tobacco plant	smell	fine	Notwithstanding the saltness of the soil , in one of the gardens here , not only7 divers sorts of vegetables appeared to thrive well , but the tobacco plant raised from Virginia seed , flourished , and had a fine smell ; which leaves not the least doubt but that tobacco might be raised , on the salt heaths , between the rivers Jaik and Volga .	1810	bl7788
the tobacco|the shanks of the pipes	odoriferous|odoriferous	odoriferous|odoriferous	These are deemed two articles of luxury ; therefore therefore the bags which contain the tobacco are of silken stuffs , superbly embroidered ; and the shanks of the pipes , which are very long , are of the most rare and odoriferous vvood .	1810	bl7788
Many of the trees|gums|oranges|lemons|tobacco|palms	odoriferous|odoriferous	odoriferous|odoriferous	Many of the trees and plants produce odoriferous gums ; and there are plenty of oranges , lemons , tobacco , palms , white pepper , & amp ; c .	1810	bl7788
tobacco	Smoking|snuff		Smoking , or cheAving tobacco , and taking snuff , are strictly prohibited , by an edict from the Emperor : the vender is punished Avith the bastinado and a confiscation of all bis goods and cattle , and the buyer Avith six years imprisonment .	1810	bl7807
of tobacco	whiff		No , no , I shall e ' en dwindle away to ' t , ere the Fair be done , you think , now you ha ' heated me : a poor vex ' d thing 1 am , I feel myself dropping already as fast as 1 can ; twostone o ' suet a day is my proportion proportion : I can but bold liie and soul together , together , with this ( here ' s to you , Nightingale , ) and a whiff of tobacco at most .	1811	bl7813
tobacco	odours|perfume		This air of dirty gloom , accompanied in little German towns and villages , by an atmosphere impregnated with odours , among which tobacco is a perfume , is singularly singularly contrasted with the decent dress and demeanour of the inhabitants .	1818	bl7816
fumes|fumes of tobacco	fumes|fumes|perfume		The assembly rooms , which form part of the edifice , are only opened on occasions of balls and evening societies and are kept sacred from the fumes of tobacco , which frequently perfume i i 3 433 THE HANSEATIC LEAGUE .	1818	bl7816
of stale tobacco fumes	smelling	most unpleasantly	When we arrived at the Consul ' s house , we found sitting in a little hot close room smelling most unpleasantly of stale tobacco fumes , a short corpulent man about fifty years of age , who began talking to us very loud , as people often do with foreigners , believing them to be deaf : he announced himself to us as our host ; and , from the appearance of everything around him , we expected indifferent accommodation .	1816	bl7844
Tobacco|gale	scented|scented	scented|scented	4 And I have heard , in lovely vallies , groan , The wretched Children of the Torrid Zone ; Seen the ripe Sugar - Canes wave round their head , Their huts of split Bamboo , with leaves o ' erspread , Their giant Calabash , their Plantain green , Groves of tall Cacao , fields of Maize between , Tobacco , waving on the scented gale , The cooling Tamarind , the Ginger pale ; And rivers brighter , than the sky above , And creatures strange , that jpimcently rove .	1813	bl7933
tobacco	scented|scented	sweet|scented|scented	The tobacco of this province , called Oroonoko , w different from that of Virginia Virginia ; and though not much liked or used in England , yet , in the eastern and northern parts of Europe , it is preferred before Ihe sweet - scented tobacco of James and York Rivers , in Virginia .	1810	bl7956
of the tobacco plant	fumes		The disagreeable effects effects of these strong esculents are , however , somewhat somewhat checked by the fumes of the tobacco plant , which they are smoking from morning to night .	1816	bl7988
Many of the trees|gums|lemons|tobacco|palms	odoriferous|odoriferous	odoriferous|odoriferous	Many of the trees and plants produce odoriferous gums ; and there are plenty of oranges , lemons , tobacco , palms , white pepper , Sac The same writer has also given us the following description description of the original inhabitants of this island , with observations observations on their present state Vines are successfully planted here , and considerable quantities of different kinds of grapes are annually produced .	1814	bl72078
of tobacco juice|fish|of the natives	effluvium|smell	most powerful|natural	It is these latter only that sing , if that mo - notonous and inharmonious noise which I heard on entering may be called singing , where every one strained his throat to the utmost , and gave out at the same time a most powerful effluvium of tobacco juice , which , mixing with the natural fish - like smell of the natives , rendered my stay among them in such a confined place by no means agreeable .	1813	bl72098
tobacco|indigo|coffee|rice|cocoa|maize|sugar|honey|wax|balsam capivi|ipecacuanha|cinnamon|long pepper|ginger|dyeing woods|cochineal|ambergris|wood|drugs	perfumes	rich	tobacco , indigo , coffee , rice , cocoa , maize , sugar , honey , wax , balsam capivi , ipecacuanha , cinnamon , long pepper , ginger , dyeing woods , cochineal , ambergris , wood for inlaying and other purposes , various rich drugs , and perfumes .	1809	bl72103
tobacco|tobacco|indigo|coffee|rice|cocoa|maize|sugar|honey|wax|balsam capivi|ipecacuanha|cinnamon|cinnamon|fong pepper|ginger|dyeing woods|cochineal|cochineal|ambergris|wood	perfumes		various kinds , tobacco , tobacco , indigo , coffee , rice , cocoa , maize , sugar , honey , wax , balsam capivi , ipecacuanha , cinnamon , cinnamon , fong pepper , ginger , dyeing woods , cochineal , cochineal , ambergris , wood for inlaying and other purposes , purposes , various rich drugs , and perfumes .	1812	bl72128
tobacco	aromatic|aromatic	aromatic|aromatic	Its population exceeds 1000 souls ; the greater part of whom are Negroes employed employed in making sugar , the principal branch of its commerce ; as also tobacco , which iakes ihe name of the setilement , and is an aromatic composition composition much esteemed throughout all Europe .	1812	bl72128
tobacco of James and	scented|scented	sweet - scented|scented	parts of Europe , where it is preferred before the sweet - scented tobacco of James and York rivers in Virginia .	1812	bl72128
