Smell_Source	Smell_Word	Quality	Sentence	Year	Book
wax candles	perfumes		5 our wax candles and perfumes , and given the howl of departure , when , crawling on bis .	1806	bl21433
his candles	stunk		With thrice great Hermes he has out watched the Often have his candles been burned to the snuff , and glimmered and stunk in the sockets , whilst he grew pale at his constitutional constitutional studies ; long sleepless nights has he wasted ; long , laborious , shiftless journies has he made , and great sums has he expended , in order to secure the purity , the independence , and the sobriety of elections , and to give a check , if possible , to the ruinous charges that go nearly to the destruction of the right of election itself .	1803	bl21449
of spice — Soap|vulgar soap|greasy candle	stink		Her hands for sugars were too nice ; She fainted at the stink of spice — Soap — vulgar soap , or greasy candle , She rather could have died than handle : Nay spouse himself , when girt with apron , She scarcely could endure to gape on : For tho the Man was passing well , The Tradesman made her stomach swell .	1812	bl78
of spice - Soap|vulgar soap|greasy candle	stink		Her hands for sugars were too nice ; She fainted at the stink of spice - Soap — vulgar soap , or greasy candle , She rather could have died than handle : Nay spouse himself , when girt with apron , She scarcely could endure to gape on : For tho the Man was passing well , The Tradesman made her stomach swell .	1812	bl78
the candles	snuff		One said , that he felt so umvorthy of being thus employed , that Avhen he rose to snuff the candles , he almost trembled , lest he should do any thing to disturb the congregation or the teacher .	1818	bl784
lamps|lanthorns|lanthorns|candles|candlesticks	perfumes		A magnificent altar was dressed out at his feet , with lamps , lanthorns , lanthorns , candles and candlesticks , censers and perfumes , strongly resembling the decorations ofa Romish chapel , and on the walls were hung numerous tablets inscribed in large characters , characters , with moral sentences and exhortations to pious alms and religion .	1818	bl7265
The fumes of the punch and tobacco|of snuffs of candles	effluvia|fragrance	most delightful	The fumes of the punch and tobacco , Avith the effluvia of snuffs of candles sunk into the sockets , must certainly produce produce a most delightful fragrance .	1813	bl7388
American olive|gordonia lausianthus|blossoms|the candleberry myrtle|numerous species of azaleas|kalmias|andromedas|rhododendrons|rhododendrons	fragrant|fragrant	fragrant|fragrant	The trees that grow upon them are of the aquatic kind , such as magnolia glauca , or beaver tree , American olive , and gordonia lausianthus , silvered silvered over with fragrant blossoms : these are generally either single , or grouped together into small open groves , while the larger part of the meadoAv is overgroAvn with long succulent herbage , herbage , intermixed with shrubs and plants ; the candleberry myrtle , Avith numerous species of azaleas , kalmias , andromedas , and rhododendrons , rhododendrons , arranged by the hand of nature into thickets and shrubberies entAvined and overarched overarched by the crimson granadilla , or the fantastic fantastic clitoria , here display their inimitable beauties in full luxuriance .	1817	bl7614
lamps|candlesticks|cups|vessels of incense	perfumes	of the richest	He found it adorned with lamps , candlesticks , candlesticks , cups , vessels of incense , with their supports , all of solid gold , containing a mass of the richest perfumes , and a sacred treasure of two thousand talents talents * .	1813	bl7981
candles|candles with pistol balls	snuffing		361 of the renewed fears of the ladies , to mutter an execration , look fierce , and exhibit their skill at snuffing candles with pistol balls .	1816	bl72011
of a candle	snuffing|snuffing		Fortunately for the Doctor , the candles wanted snuffing ! But a Woman ' s curiosity was not to be put off by the snuffing of a candle .	1812	bl72022
of mould candles	smell	peculiarly offensive	This occasions all Avho return from India , after long residence there , to be extremely incommoded by the smell of mould candles ; the smoke of which is , to them , peculiarly offensive , and strongly calls to mind the cheraugs , or oil - lamps , in common employ among the natives , and in the zenanahs of Europeans .	1810	bl72053
magnolia glauca|beaver - tree|American olive|Gordonia lasianthus|blossoms|the candleberry|andromedas|rhododendrons|rhododendrons	fragrant|fragrant	fragrant|fragrant	The trees that grow upon the savannas are of the aquatic kind , such as magnolia glauca , or beaver - tree , American olive , and Gordonia lasianthus , covered with silvery fragrant blossoms : these are generally either single , or groped into small open groves , while the larger part of the meadow is overgrown with long succulent herbage , intermixed with shrubs and plants ; the candleberry myrtle , with numerous species of kalmias , andromedas , and rhododendrons , rhododendrons , in thickets and shrubberies , over - arched by the crimson granadilla , or the clitoria , also display their beauties and luxuriance .	1814	bl72078
Avhich|candles	smell	agreeable	178 JOURNAL OF A of Avhich , Avhen boiled , yield a fat substance , of Avhich I have seen candles , of an agreeable smell and a green colour .	1812	bl71032
of Soap — vulgar soap|greasy candle	stink		Her hands for sugars were too nice ; She fainted at the stink of Soap — vulgar soap , or greasy candle , She rather could have died than handle ; Nay , spouse himself , when girt with apron , She scarcely could endure to gape on ; For though the man was passing well , The tradesman made her stomach swell .	1814	bl71402
of Soap — vulgar soap|greasy candle	stink		Her hands for sugars were too nice ; She fainted at the stink of Soap — vulgar soap , or greasy candle , She rather could have died than handle ; Nay , spouse himself , when girt with apron , She scarcely could endure to gape on ; For though the man was passing well , The tradesman made her stomach swell .	1814	bl71413
of the candle	snuff		One of the servants now lighted a large candle , and set it iu the doorway doorway between the two chambers , to see what passed ; and , as he * watched it , he plainly saw a hoof striking striking the candle and candlestick into the middle ofthe room , and afterwards making three scrapes over the snuff of the candle , to scrape it out .	1827	bl379
magnolia glauca|beaver - tree|American olive|gordonia lasianthus|blossoms|the candleberry|andromedas|rhododendrons	fragrant|fragrant	fragrant|fragrant	The trees that grow upon the Savannas are of the aquatic kind , such as magnolia glauca , or beaver - tree , American olive , and gordonia lasianthus , covered with silvery fragrant blossoms : these are generally either single , or groped into small open groves , while the larger part of the meadow is overgrown with long succulent herbage , intermixed with shrubs and plants ; the candleberry myrtle , with numerous species of kalmias , andromedas , and rhododendrons , in thickets , and shrubberies , over - arched by the crimson granadilla , or the clitoria , also display their beauties and luxuriance .	1826	bl3163
of a candle	snuff		Now would I sooner take a cart in company of the hangman , than a coach with that woman : what a strange antipathy have I taken against these creatures ; a woman to me is aversion upon aversion , a cheese , a cat , a breast of mutton , the squalling of children , the grinding of knives , and the snuff of a candle , [ Exeunt .	1824	bl3363
of the candle	snuff		She had a negro maid went into the room very late and let fall some snuff of the candle upon the linen , so as by the morning all the linen was burned to tinder , and the boards underneath , underneath , and some stools and a part of the wainscot burned , and never perceived by any in the house , though some lodged in the chamber chamber over head , and no ceiling between .	1825	bl3580
of a candle	snuff		For what a great fire is to the former , that the snuff of a candle is to the latter .	1820	bl3761
from cheese|tallow candles|sugar|rum	nose|perfumes		It was at the foot of the stairs , close to my cabin door ; and when the trap was listed up to allow of admission , my nose was assailed with a concatenation concatenation of perfumes from cheese and tallow candles , sugar , rum , and innumerable etceteras .	1828	bl3809
o ' ' xpiring candles	stench	horrid	What then succeeds ? — doth memory Put up with all this flummery ? Excuse me ! 1 think not , it handles Like horrid stench o ' ' xpiring candles , — Libels and obloquies may follow Such splendid muck , that were so hollow , A mass of putrefaction here , A mass of putrefaction there : Oh ! that we ' d sense , and thought , and care , 187 Can it be wonder ' d he took pains , To sing sweet Ovid ' s softest strains ? ( The Roman de la he wrote , Some authors say , — but I say not , ) And to compose on am ' rous verses , Which after prov ' d the worst of curses , — For somehow copies got so spread , — His scholars whisper ' d ' bout his head , Thinking their master downright crack ' d , In fine , they soon saw through the fact , They guess ' d the Dalilah that broke , The strength of Sampson — by a stroke ; He rarely ' tended to his school , And read his lectures like a fool , For , ev ' ry now and then , he ' d try To bend his eye on vacancy , And with the incorporeal air , To hold and then he ' d stare , As if just started from a dream , Forgetting quite his studied theme , The dev ' l ' s tattoo with fingers beating , And Heloisa ' s name repeating , — His lectures — read like printed sermons Were old ones , just like cousin - germans , Serv ' d up too oft , like tavern dishes 288 Thus to religion to devote That form , which others on might doat , — For she was not as yet quite twenty , The world shew ' d admiration plenty At both , her matchless charms and learning , Her character so well discerning .	1819	bl3940
the candles	snuff		The servants , however , snuff the candles into a tea - cup with a pair of scissars .	1822	bl32036
the Croton lacciferum|the Sebifera glutinosa|the sapium|suif|candles	smell	unpleasant	Among the plants subservient to industry , we shall mention the Pimelia oleosa , from which an oil is obtained that enters into the composition composition of the Chinese varnish ; the sumach of Java , another varnish tree ; the Croton lacciferum , from which is obtained the valuable red lac , the produce of a sort of ant which nestles on it , and separates this gum as his ordinary food ; and finally , the suet tree , the Sebifera glutinosa of Loureiro , Loureiro , the sapium or Gluttier porte - suif of Jussieu , the fruit of which yields a stiff grease , from which are made candles of a handsome appearance but unpleasant smell .	1822	bl32203
of lamps|candles	snuffs		And if the flame rises bending and turning , it signifies wind chiefly ; and when the snuffs of lamps and candles grow like mushrooms with broad heads , it is a sign of rainy weather .	1825	bl32258
the candle	snuffing		So stood the feelings ofthe young man , when , one day after dinner , the Doctor snuffing the candle , and taking from his pouch the great leathern pocket - book in which he deposited particular papers , with a small supply of the most necessary and active medicines , he took from it Mr Moncada ' s letter , and requested Richard Middlemas s serious attention , while he told him some circumstances concerning himself , which it greatly imported him to know .	1827	bl32351
of incense|magnificent candlesticks|candlesticks|large	perfumes		The synagogue is also furnished with a table of incense , magnificent candlesticks , candlesticks , large candles , a censer , and perfumes .	1819	bl32459
the candle	snuffed		er before the time , or to stir eithei during the supper : the candle must not be snuffed , .	1828	bl32634
the candles	snuff		He attempted attempted also to snuff the candles , but was unsuccessful , unsuccessful , and relinquished that ambitious post of courtesy after having twice reduced the parlour to total darkness .	1827	bl32674
a tallow - candle	smell		Upon my honour , my good sir , I have never been able to bear the smell of a tallow - candle fact of having wounded young Hazlewood of Hazlewood , Hazlewood , even by inadvertency , to take the matter in its mildest and gentlest , and in its most favourable and improbable light , as a crime which will be too easily atoned by imprisonment , and as more deserving deserving of Sir said his assenting brother injustice , I am entirely of your opinion ; but I don ' t know how it is , I have observed the Edinburgh gentlemen gentlemen osthe bar , and even the officers of the crown , pique themselves upon an indifferent administration of justice , without respect to rank and family ; and 1 should fear sir , without respeet to rank and family ? Will you tell me that doctrine can be held by men of birth and legal education ? — No , sir ; if a trifle stolen in the street is termed mere pirfkery , but is elevated into sacrilege if the crime be committed in a church ; so , according to the just gradations of society , society , the guilt of an injury is enhanced by the rank osthe person to whom it is offered , done , or committed , committed , Glossin bowed low to this declaration ex cathedra , but observed , that in case osthe very worst , and of such unnatural doctrines being actually held as he had already hinted , law had another hold ou Mr Vanbeest Brown ! is tbat the fellow ' s name ? Good God ! that young Hazlewood of Hazlewood should have had his life endangered , the clavicle of his right shoulder considerably lacerated and dislodged , dislodged , several large drops or slugs deposited in the acromion process , as the account osthe family surgeon expressly bears , and all by an obscure wretch , named Vanbeest Brown ! Why , really , Sir Robert , it is a thing which one can hardly bear to think of ; but , begging ten thousand thousand pardons for resuming what I was about to say , a person of the same name is , as appears from these papers ( producing Dirk Hatteraick ' s pocket - book ) , mate to the smuggling vessel whose crew offered such violence at Woodbourne , and I have no doubt that this is the same individual ; which , however , your acute discrimination will easily be able to Pitying , as seemed to be expected , the mean use to which the Baronet ' s faculties had been degraded on this melancholy occasion , Mr Glossin ofl ' ered to officiate as clerk or assessor , or any way in which he could be most useful .	1827	bl32674
his candles	stunk		With thrice great Hermes he has out - watched the Often have his candles been burned to the snuff , and glimmered and stunk in the sockets , whilst he grew pale at his constitutional studies ; long sleepless nights has lie wasted ; long , laborious ^ 307 WILLIAM ELLIOT , ESQ .	1823	bl31400
from cheese|tallow candles|sugar|rum	nose|perfumes		It was at the foot of the stairs , close to my cabin door ; and when the trap was listed up to allow of admission , my nose was assailed with a concatenation concatenation of perfumes from cheese and tallow candles , sugar , rum , and innumerable etceteras .	1828	bl31541
a candle	snuffed		Whether we do not at this moment know much less of the Spanish armies than of those of Portugal , which were so promptly condemned as totally inadequate to assist in the preservation of their country ? 2d , Whether , independently independently of any right we have to offer more than advice and assistance to our independent allies , we can expect that they should renounce entirely the national pride , which is inseparable inseparable from patriotism , and at once condescend not only to be saved by our assistance , but to be saved in our own way ? 3d , Whether , if it be an object , ( as undoubtedly it is a main one , ) that the Spanish troops should be trained under British discipline , discipline , to the flexibility of movement , and power of rapid concert and combination , which is essential to modern war ; such a consummation is likely to be produced by abusing them in newspapers and periodical publications ? Lastly , Since the undoubted authority of British officers makes us now acquainted acquainted with part of the horrors that attend invasion , and which the Providence of God , the valour of our navy , and perhaps perhaps the very efforts of these Spaniards , have hitherto diverted from us , it may be modestly questioned whether we ought to be too forward to estimate and condemn the feeling of temporary temporary stupefaction which they create ; lest , in so doing , we should resemble the worthy clergyman , who , while he had himself never snuffed a candle with his fingers , was disposed Canto V .	1821	bl31571
of a candle	snuff		Among the paintings here , is a cartoon well done with the finger ' s end , and the snuff of a candle .	1824	bl31622
of the candle	snuff		One shot had nearly produced a fatal explosion ; passing through the light room , it knocked the snuff of the candle into the magazine , fortunately the gunner saw it , and had the presence of mind immediately to extinguish it .	1825	bl31861
the candle	snuff|smell|stink		Bartley : — this play was well acted — when Young said — This candle burns not clear ! ' tis I must snuff Then , out it goes — He kept his arms folded , and slurred the metaphor metaphor completely — in this respect he evinced a better judgment than Kemble , who , though he did not snuff the candle like Colley Cibber , yet seemed to smell a stink .	1832	bl8111
from candles ' ends|cheeseparings of a chandler	odours	unsavoury unsavoury	Mine , in addition , Uaving been previously previously occupied by tUe mate , and probably used as a store , is infested with a combination of unsavoury unsavoury odours , such as might be supposed to arise from candles ' ends and cheeseparings of a chandler ' s shop .	1835	bl8210
the candles	snuff		The servants , however , snuff the candles into a tea - cup with a pair of scissors .	1834	bl8346
the Croton lacciferum|the Sebifera glutinosa|candles	smell	unpleasant	Among the plants subservient to industry , we shall mention the Pimelia oleosa , from which an oil is obtained that enters into the composition of the Chinese varnish ; the sumach of Java , another varnish tree ; the Croton lacciferum , from which is obtained obtained the valuable red lac , the produce of a species of ant which nestles on it , and elaborates its gum , b his ordinary ordinary food ; and finally , the tallow tree , the Sebifera glutinosa of Loureiro , the sapium or Gluttier porte - suif of Jussieu , the fruit of which yields a thick and very white oil , from which are made candles of a handsome appearance but unpleasant smell .	1834	bl8346
candles	snuffing|stinking		Tallow candles snuffing and stinking , dishes changing at the risk of showering showering down upon you their savoury contents , heads scratching , and all sorts of performances going forward at the same moment ; the flutes , oboes , and bassoons , snorting , grunting and whining ROME 239 luminous figure , and never stood I more in need of something to enliven me .	1834	bl8348
wax candles|paper|sugar|perfumery|incense|all the	perfume		In addition to all kinds of drugs , they sell wax candles , paper , sugar , perfumery , and incense ; the latter is much used by the in - habitants of the towns , where all the re - spectable families perfume their best rooms every morning .	1829	bl8532
gros Wax - candles|boots|shoes|all|eau de Cologne|pomatum|hair - powder|confec - tionaries	perfumes|perfumeries	other	gros Wax - candles , boots and shoes , sea - charts , sealing - wax , prints , books , paper , pens , and every article of stationary ; all copper and tin , manufactured goods of jewellery and ironmongery ; eau de Cologne and other perfumes , pomatum , hair - powder , and all other perfumeries and confec - tionaries ; thread and twine , saddles , and all other 1 1 6 6 1 2 6 6 LAWS , ETC .	1830	bl8579
the candle	snuffing		he added , seeiug her produce the key from her pocket ; only tell me how is Miss St Juan , for I am in a great hurry to return to town , and cannot stay to go Dear , dear , exclaimed the girl in astonishment ; astonishment ; & # 34 ; don ' t you know then that they are both repeated Walsingham , gone — who ? what do you mean Why , both my old mistress and my young mistress mistress too , Sir ; they went away this morning early , and told me I w & lt ; w to stay till you came , and take your orders what was to be done with the house and furniture , furniture , as they had nothing farther to do with it ; and so I ' ve been waiting all day , Sir , expecting you ' d come ; and now I ' ve just been to try to get the charwoman ' s charwoman ' s daughter to come and stay with me , because I daren ' t for the world , stay all night by myself in this lonely — repeated Walsingham , as he followed her into the house , she having during this explanation unlocked the door — Yes , Sir , they be gone repeated Sarah , deliberately snuffing the candle which had been left burning on the table .	1836	bl8610
wax candles|paper|sugar|perfumery|incense|all the respectable respectable families	perfume		In addition to all kinds of drugs , they sell wax candles , paper , sugar , perfumery , and incense ; the latter is much used by the inhabitants of the towns , where all the respectable respectable families perfume their best rooms every morning .	1829	bl8611
the candle	snuffing		In an instant the lad entered the room adjoining , and , under pretence pretence of snuffing the candle , moved it - into the required position , and , speaking to the girl , caused her to raise her face .	1838	bl8627
his candles	snuff|stunk		AVith thrice great Hermes he has out watched the Often have his candles been burned to the snuff , and glimmered and stunk in the sockets , whilst he grew pale at his constitutional studies ; long sleepless nights has he wasted ; song , laborious , shiftless journies has he made , and great sums has he expended , in order to secure the purity , the independence , and the sobriety of elections , and to give a check , if possible , to the ruinous charges that go nearly to the destruction of the right of election itself .	1837	bl82019
Candles|they	smell	agreeable	Candles of this kind do not easily bend or melt in summer , as common candles do ; they burn better and more slowly , nor do they cause any smoke , but rather yield an agreeable smell when they are extinguished .	1829	bl82147
the candle	snuff		One shot went through the light room , and knocked the snuff of the candle into the magazine — The gunner happened to see it immediately , and extinguished it with his hand : 2 shot passed through the magazine ; 2 through the cabin ; 3 or 4 came into the ward room — but I believe believe only one went quite through , and that passed a few inches over the surgeon ' s head as he sat in the cockpit .	1836	bl82155
the candles	snuff		I have known a shopkeeper ' s son ring the bell for his servant to snuff the candles , snuffers and candles being on the table before him .	1836	bl82276
of a candle	snuff		— A fire , occasioned by the snuff of a candle took place in a corn mill , without Pandon Gate , Newcastle , which entirely entirely consumed the same , together with a large quantity of corn , & amp ; c .	1833	bl81039
of a candle	snuff		of Newcastle , having accidentally dropt a snuff of a candle among the straw in the stable , then going out and shutting the door , in less than twenty minutes , five of the valuable coach - horses were suffocated .	1833	bl81039
Tallow candles	snuffing|stinking		Tallow candles snuffing and stinking , dishes changing at the risk of showering showering down upon you their savoury contents , heads scratching , and all sorts of performances going forward at the same moment ; the flutes , oboes , and bassoons , snorting , grunting , and whining with peculiar emphasis ; now fast , now slow , just as Variety commands , who seems to rule the ceremonial of this motley assembly , where every distinction of rank and privilege is totally forgotten .	1834	bl81310
of a candle	snuffing		I see the window , the opening of a door , the snuffing of a candle .	1831	bl81390
of a thousand candles	splendour		After groping about for a long time , one of them , at last discovered a narrow passage , through which they squeezed their bodies and had no sooner done so , than their eyes were dazzled by the splendour of a thousand candles , which burst suddenly upon them .	1838	bl81552
candles	stinking|stink		Tbe candles were then extinguished , and cast , stinking and smoking , ( projiciebontur fœtentes ct fumigantes ) upon the ground , the archbishop saying , Thus , thus , be extinguished , stink and smoke , the damned souls of those men who violate or wrongly interpret this injunction .	1837	bl81574
Wax|candles|boots|shoes|eau de Cologne|pomatum|hair - powder|confec|tionaries	perfumes|perfumeries	other	gros Wax - candles , boots and shoes , sea - charts , sealing - wax , prints , books , paper , pens , and every article of stationary ; all copper and tin , manufactured 1 1 1 1 1 1 1 6 6 6 6 6 6 6 7 7 7 7 1 1 7 6 6 6 6 6 6 6 1 6 1 6 1 6 2 6 goods of jewellery and ironmongery ; eau de Cologne and other perfumes , pomatum , hair - powder , and all other perfumeries and confec - tionaries ; thread and twine , saddles , and all other 339 REGISTERING ACTS OF PARLIA4MENT .	1830	bl81589
drugs|wax candles	perfumes		— The principal object in this view is the shop of au ' atta ' r , who sells drugs , perfumes , wax candles , & amp ; c .	1836	bl81640
of the candles	snuffs		It was in vain that I remarked we were alone , or that I made a digression to the lengthening snuffs of the candles ; or adverted to the cooling coffee which remained untasted in his left hand , while with his right he performed every oratorical flourish and wave , with considerable dexterity .	1834	bl81700
the candles	snuff		He attempted also to snuff the candles , but was unsuccessful , and relinquished that ambitious post of courtesy , after having twice reduced the parlour to total darkness .	1834	bl81827
the candle	snuff		One shot went through the light room , and knocked the snuff of the candle into the magazine — the gunner happened to see it immediately , and extinguished extinguished it with his hand : 2 shot passed through the magazine ; 2 through the cabin ; 3 or 4 came into the ward room — but I believe only one went quite through , 128 elliot ' s letter to perry .	1839	bl462
of expiring tallow - candles|lamp - oil|drooping flowers|and broken bottles|sleeping|halfstarved halfstarved	smell		The Good nights are then repeated , and the ladies move off , accompanied accompanied by their beaux , and the late gay ball - room is left to the smell of expiring tallow - candles , and lamp - oil ; drooping flowers , and broken bottles ; sleeping musicians , and halfstarved halfstarved dogs , who creep in with the hopes of picking up a stray bone or two ; until the bright sun arises , and bids the inmates bestir themselves to clear away the relics of their midnight orgies .	1844	bl4137
of a candle	snuff|snuff		The snuff of a candle , or a mischievous mischievous dog , might in a moment have deprived the world for ever of any of those fine compositions .	1842	bl4225
candles|incense|chanting|flowing	odour	most variegated	Amongst bells , candles , incense , chanting , flowing robes , and celibacy of the priesthood , priesthood , the Buddhist and Catholic arc equally at 98 DIET steam and a most variegated odour .	1848	bl4408
leather|brown paper|vinegar|milk|candles|several flowers and plants	smell		Let the pupil discover by the smell only , various simple and wellknown wellknown objects , as leather , brown paper , vinegar , milk , candles , and several flowers and plants , & amp ; c .	1842	bl4440
the candles	snuffing		In the midst of so much magnificence , and really so much neatness and arrangement , it was curious to see the servants snuffing the candles into a tea - cup with a pair of scissors , and others jointing the meat with a large penknife , and then tearing it to pieces , and laying it on our plates with their hands .	1839	bl4645
Cold beef|broiled bones|of extinguished lamps and candles	perfume		Cold beef , broiled bones , a night - cap , and then turn in at half - past ten , amidst the perfume of extinguished lamps and candles .	1842	bl43140
Tallow candles	odour	savoury	Tallow candles of the vilest composition were suspended in greasy ranks from the ceiling , diffusing an odour by no means savoury ; whilst the floor was disposed in mountains and valleys , and broken into chasms , which gave the vision free access to the common room beneath .	1843	bl43259
of those terrible candles|with lavender - water	smell		I had rather not to look any more ; for — for , it has made me not exceedingly The heat has overcome you ; and the smell of those terrible candles , my dear said Lady Delamore , now fanning her tenderly , and sprinkling her with lavender - water .	1847	bl43262
candles	fetid|fetid	almost pestUential|fetid|fetid	Poor Miss De CUfford , my lord , not accustomed to anything of the kind , overcome by the almost pestUential atmosphere , from the crowd and the fetid candles and exclaimed his lordship , with eyes flashing flames , and stamping stamping his foot , in a paroxysm of rage .	1847	bl43262
that candle	snuffed		as a is a eommon saying , but I was faster than that ; aye , faster than a cathedral ; the last thing I saw was the candle , it had a long and ominous looking wick , I couldn ' t have got out of bed and snuffed that candle if anybody had laid me down a hundred pounds upon tbe spot .	1846	bl43712
the candle	snuffing		So stood the feelings of the young man , when , one day after dinner , the Doctor snuffing the candle , and taking from his pouch the great leathern pocket - book in which he deposited particular papers , with a small supply of the most necessary and active medicines , he took from it Mr Mom ^ ada ' s letter , and requested Richard Middlemas ' s serious attention , while he told him some circumstances concerning himself , which il greatly imported lum to know .	1840	bl43759
candles|salt - butter|bacon|pickles|pickles|oils	stench|odours	ill	TonUrins ' s stock - in - trade consisting , besides the celebrated cheese which had so unluckily brought him acquainted with her , of soap , candles , salt - butter , bacon , pickles , pickles , oils , and other unsavoury commodities , one would really think that no one particular stench could greatly increase the ill odours ol that rnost unfragrant shop .	1841	bl43879
candles with a bullet	snuff		To drive nails , and snuff candles with a bullet , are no - wondcr - feats in the opinion of Kentuckian riflemen .	1840	bl43972
candles	snuff		Let Shaw21 snuff candles when at night you play ; And when you dress at noon , your chaplains pray : 2S Let all the Cabinet , with ductile hand , Sign what they read , and never understand ; Let dupes you rally thankfully receive it ; Let Teed21 mill chocolate , and Purcel21 give it ; What others dictate , let great statesmen write , And we Gold Keys29 learn all to read at sight : Let Wilmington , with grave , contracted brow , Red tape and wisdom at the Council show , Sleep in the senate , in the circle bow .	1848	bl42048
a tallow - candle	smell		Upon my honour , my good sir , I have never been able to bear the smell of a tallow - candle fact of having wounded young Hazlewood of Hazlewood , Hazlewood , even by inadvertency , to take the matter in its mildest and gentlest , and in its most favourable and improbable light , as a crime which will be too easily atoned by imprisonment , and as more deserving deserving of Sir said his assenting brother injustice , I am entirely of your opinion ; but I don ' t know how it is , I have observed the Edinburgh gentlemen gentlemen of tlie bar , and even the officers ofthe crown , pique themselves upon an indifferent administration of justice , without respect to rank and family ; and 1 should fear f How , sir , without respeet to rank and family ? Will you tell me that doctrine ran be held by men of birth and legal education ? — No , sir ; if a trifle ■ stolen in the street is termed mere pickery , but is elevated into sacrilege if the crime be committed in a church ; so , according to the just gradations of society , society , the guilt of an injury is enhanced by the rank of the person to whom it is offered , done , or committed , committed , Glossin bowed low to this declaration ex cathedra .	1840	bl42225
the candles	snuff		He attempted attempted also to snuff the candles , but was unsuccessful , unsuccessful , and relinquished that ambitious post of courtesy after having twice reduced the parlour to total darkness .	1840	bl42225
the candle - tree|splinters of which	odour	fragrant	Here is found the candle - tree , splinters of which , when lighted , emit a fragrant odour .	1843	bl42448
of the candle	snuff		One of the servants now lighted a large candle and set it in the doorway between the two chambers , to see what passed ; and as he 1 watched it , he plainly saw a hoof striking the candle and candlestick into the middle of the room , and afterwards making three scrapes over the snuff of the candle , to scrape it out .	1846	bl42509
Cold beef|broiled bones|of extinguished lamps and candles	perfume		Cold beef , broiled bones , a night - cap , and then turn in at half - past ten , amidst the perfume of extinguished lamps and candles .	1842	bl42608
of a candle	snuff		Come , Mary , it is time to go to Mary could not rest ; but if the gentle girl had been inclined to retire to her own room , the heavy tramp of her father ' s footsteps overhead would have banished repose ; the apartment had once been handsomely furnished ; now ad looked chid and lonely , and the snuff of a candle that was dying in the socket only rendered more intense the darkness that cloaked the distant parts .	1841	bl42609
of the candle	snuff		One shot had nearly produced a fatal explosion ; passing through the light - room it knocked the snuff of the candle into the magazine ; magazine ; fortunately the gunner happened to see it , and had the presence of mind to extinguish it immediately with his hand .	1843	bl42773
