Smell_Source	Smell_Word	Quality	Sentence	year	Book
ozone	odour	peculiar	It will naturally be asked by those unacquainted with chemical and meteorological reasoning , What is ozone ? To render the subject plain , every one who has noticed , or cares to notice , a thunderstorm , knows that electricity is generated , and that the lightning , so much feared by some , has the power to purify , and , of course , does purify the atmosphere , and gives to the senses a feeling that there is abroad a peculiar odour , not unlike that which is noticed from an electrical machine .	1887	bl53482
ozone|it	inhaled|smelt|snuff	fishy	He inhaled the fresh ozone laden air that was wafted from the glorious purple sea , and he thought it smelt fishy , so he took a big pinch of snuff .	1888	bl56043
OZONE	odour		OZONE ( from the Greek ozein , to yield an odour ) , was discovered by Schonbein , of Sasel , in 1840 , when experimenting with the then newlyinvented newlyinvented battery of sir Wm .	1885	bl56677
the ' Ozone '	smell		Some persons with keen noses even go so far as to assert that they can smell the ' Ozone ' in the air at Burgess Hill .	1883	bl55032
of ozone|the wafted flavour of pine cones|clover	fragrance		Straight from the sea , two miles away , it has gaily hastened for our especial delectation , and it bears upon its bosom the fragrance of ozone , the wafted flavour of pine cones and clover .	1888	bl51008
OZONE	odour		OZONE ( from the Greek ozein , to yield an odour ) , was discovered by Schonbein , of Basel , in 1840 , when experimenting with the then newlyinvented newlyinvented battery of sir Wm .	1881	bl59809
of ozone	odour	rank|inspiriting	And in extent of beach , Tramore is true to its name , for it would be difficult to find an equal to its matchless field of strand , so extensive as to appear from the cove , almost limitless , and so clean all over its vast and crisp expanse as to seem faultless ; while the breezes from that southern bay give a rank odour of ozone more nerve - bracing and inspiriting than may be found in most sea - side resorts of even much greater celebrity .	1885	bl510390
of|of Piccadilly|Piccadilly|ozone|of moist earth	smell|odour	stuffy	He thought of the stuffy smell of Piccadilly , Pall Mall , and even the Park with a contempt which would have been ungracious but a fe ' v days before , as he breathed in the fresh ozone and odour of moist earth .	1884	bl510750
OZONE	odour		OZONE ( from the Greek ozein , to yield an odour ) , was discovered by Schonbein , of Basel , in 1840 , when experimenting with the then newlyinvented newlyinvented buttery of sir Win .	1898	bl08217
of ozone|of the cloverfields cloverfields|ferns|way - side flowers	fragrance|odours	wafted	A light breeze straight from the sea , some miles away , bears on its bosom the fragrance of ozone and the wafted odours of the cloverfields cloverfields across which it has passed ; overhead the beech boughs almost interlace ; the birds are carolling their spring songs ; the woodpigeons woodpigeons are cooing from the wood close at hand ; ferns and way - side flowers carpet the turf , and the rabbits flit across the ride , un - 70 A WANDERING STAR .	1892	bl013083
of ozone|open sea	odour	salt	A low sea - wind whimpered in the sand - grass ; the white surf - lines moaned along the shore ; and from the tide - wash went up a salt odour of ozone and open sea .	1898	bl013347
of ozone|of the river	odour|stench	faint	To - day the wind blew crisply from the sea , bearing with it a faint odour of ozone struggling manfully against the stench of the river , and the sun shone in an energetic , light - hearted way , piercing piercing with hot beams the cold air , stiff with the first suggestion of frost .	1896	bl013781
of ozone	sniff		It was nearly dark , but the weather was simply perfect , and I couldn ' t resist the temptation — never could resist temptation , you know — of going down by the sea and getting a sniff of ozone before returning to ny virtuous down3 ' .	1892	bl012024
of ozone	whiff		She brought into the deathchamber deathchamber at once a whiff of ozone , and a suggestion of tragic incongruity .	1898	bl012167
of ozone	odour	invigorating	Again that invigorating odour of ozone filled the atmosphere , and a briny dampness rose upon them as they descended .	1892	bl012582
of ozone	scent		There was a scent of ozone in the damp and chilly air , and the thunder of the rising tide seemed to shake the house perceptibly .	1892	bl012582
the pure mountain ozone|pinetree pinetree	fragrance		In a watering - place whose season , by reason of its elevated position , extends over barely ten weeks , prices are of course proportionately high ; so as Fekete ' s purse was scarcely better filled than my own , it was not at Tatra Forras itself that we fixed our quarters , but at a little wayside wayside inn of modest pretensions , where , if food and accommodation were of decidedly secondrate secondrate quality , the pure mountain ozone and pinetree pinetree fragrance yielded in nothing to that of the more fashionable establishment , which could easily be reached by an hour ' s walk .	1897	bl054
of ozone	odour	pungent	weed , of every hue from golden brown to bottle green , whence the pungent odour of ozone is borne upon the sun - warmed air .	1895	bl0569
of ozone	Took|whiff		Took a whiff of ozone from my window before I came down .	1897	bl03960
ozone|flowers	scent		Here we have a sea that is destitute of freshness freshness and what at home we call ozone ; flowers that have no scent ; birds that have no song ; women who are actually pleased with their uniform unloveliness ; men who laugh and chuckle as they display their shaved heads or scrubbing - brush hair ; babies of infinite ugliness , whose cradle is a sack on the back of their stunted mothers ; married women with teeth as black as ink , and cats without a vestige of a tail .	1894	bl06314
of Mona ' s flowers|of briny ozone	fragrance|whiff|odours		The fragrance of Mona ' s flowers fills the air , but at times a whiff of briny ozone from the sea finds its way amid the odours of the garden , and causes you to lift your eyes from the glowing flower - beds and turn them upon the radiant ocean below — divinely blue this evening , with myriads of wavelets , silver - crested , rippling inshore .	1891	bl06420
of delicious tea|flowers|Atlantic ozone	odours|fragrant|fragrant	mingled|fragrant|fragrant	So in the mingled odours of delicious tea , fragrant flowers , and Atlantic ozone , with sunshine and music around them and .	1891	bl06420
of ozone	whiff		Any hopes I had entertained of a whiff of ozone , direct from the Vikings of the old Norse legends , were soon disappointed , and the only trace of it that I could find was in their names alone .	1896	bl06499
of the ozone	perfume	pungent	It was a perfect summer evening ; and as they had been carried shorewards from Faversham the air was filled with the pungent perfume of the ozone .	1897	bl06592
of the flowers|the ozone	fragrance		33 by the Military - Band upon their instuments ; or , while perusing their favourite books , inhale the fragrance of the flowers , or the ozone from the sea .	1897	bl06676
of the sea|of ozone	smell	mysterious	Above all , there came to him the mysterious smell of the sea , wafted from the depths of sea - life and invisible invisible waves of ozone .	1893	bl06878
of ozone	sniff		He rarely gets a sniff of ozone as things are now , but then ' Edna with a cry of joy flung her arms around his neck .	1897	bl02382
of ozone	odour	invigorating	Again that invigorating odour of ozone filled the atmosphere , and a briny dampness rose upon them as they descended .	1890	bl05097
of ozone	scent		There was a scent of ozone in the damp and chilly air , and the thunder of the rising tide seemed to shake the house perceptibly .	1890	bl05097
of ozone|pine	fragrance|scent	mingled	Variable sunlight flickered across the scene ; there was a mingled fragrance of ozone and pine scent in the air , and a ringdove cooed in the branches overhead .	1897	bl05465
of ozone	smell	peculiar acid	The air was filled with the peculiar acid smell of ozone .	1892	bl05830
of the August ozone	whiff		You should come , Bob ; a whiff of the August ozone would serve you just now .	1893	bl05990
the ozone|the mud	sniff		Benfleet , formerly called Bemflete , was once an important place , and its name means that there was a large trade in timber ( beams ) there At Benfleet one begins to feel the sweet influence of sniff the ozone , or the mud , it is the station next before the Thames estuary , and to or whatever it may be ; for Leigh , and it has a salt - water creek ( Tewk ' s Creek ) , and barges come into view , soon to be succeeded by the first glimpse of the fleet of bawleys , which lie at anchor in the Ray opposite Leigh .	1892	bl07427
The|The ozone -	fragrant|fragrant	fragrant|fragrant	The ozone - laden air was fragrant of the forest , and the jewelledlake , the child of the rushing Adda , smiled before her LOVES MIRACLE .	1895	bl07584
pine|ozone|red pine stems	fragrant|fragrant|scent	fragrant|fragrant	167 the Widow in the middle , through the rec ' aimed rec ' aimed meadow lands , past the church and the vicarage , and dived into a walk in the fir woods , fragrant with a mixture of pine scent and ozone ; an undergrowth of rich bracken , with patches of purple heather in the open spaces , a vista of red pine stems , a glimpse of a scudding bunny or a whirring pheasant .	1895	bl07752
of the sea - weed|the ocean ozone	scent		A soft breeze blows in from the sea , bringing bringing with it the scent of the sea - weed and the ocean ozone .	1895	bl014150
the Jardin des Plantes|its ozone|its	inhale|perfumes		Again and again our steps involuntarily turn to the Jardin des Plantes to drink in its ozone and inhale its perfumes , but one visit here suffices : that highly exhiliarating ; this wofully depressing ; yet it marks the ground on which Avranches Cathedral stood in olden times , the finest Basilica possessed by ( ? ) built in the eleventh century , destroyed at the says Blackie ; to pieces in says another — a very 28 Normandy .	1898	bl014225
the ozone of the pure sea - breeze	sniff		For one thing , the air is purer , and it is even stated that in the early morning , before chimneys and factories poison the air with their smoke , it is possible to sniff the ozone of the pure sea - breeze .	1898	bl014290
of ozone	whiffs		After breakfast I again went to Cutcherry , and finally got clear of my day ' s work at about 5 o ' clock , when , being in want of a little fresh air , I had saddled and took a spin down the breezy Tiger Pass , one of the prettiest of the many pretty roads at Chittagong , and on to the Sudder Ghdt , inhaling whiffs of ozone from the river and not distant sea .	1896	bl09690
of ozone	smell|vapour	intolerable intolerable	An intolerable intolerable smell of ozone filled the atmosphere , and under the electric brilliancy , reddish clouds of heavy vapour gathered slowly , twisting and curling in fanciful wreaths like smoke under the roof of a burning house .	1896	bl09842
with the ozone of the South Atlantic	fragrant|fragrant	fragrant|fragrant	The wooded slopes and solemn grandeur of Table Mountain had for us an especial charm , as we glided under its mighty shadow , by the growing suburbs scattered along the lower terraces , into the Cape metropolis sheltering at its foot — the silver trees covering the mountain sides below the Lion ' s Head fluttering with the sheen of burnished steel in the last lurid flush of afternoon sun , as the cool evening breezes , fragrant with the ozone of the South Atlantic , already commenced to creep in across the bay and whispered through their branches .	1892	bl010292
ozone	smell	peculiar	2 Professor Schoenbein of Basle attributes the peculiar smell , when bodies are struck by lightning , to a principle existing in the atmosphere , which he calls ozone , liberated by the decomposing action of electricity , and possessing the same electric - al characters as bromine , chlorine , and iodine .	1858	bl504806
OZONE	odour		OZONE , ( from ofeic , to yield an odour , ) a name given in 1840 by M .	1857	bl503140
OZONE|ozein	odour		OZONE ( from ozein , to yield an odour ) , a name given in 1840 by M .	1860	bl604638
OZONE|ozein	odour		OZONE ( from ozein , to yield an odour ) , a name given in 1840 by M .	1863	bl603874
of all essential oils|of flowers|defiant|sulphurous|ozone	vapour|scents		Gaseous bodies of all kinds do so , though to a very different extent ; the vapour of all essential oils â   in other words , all scents , whether of flowers or animals â   ammonia , defiant gas , sulphurous acid gas , and , above all , ozone â   that singular and little understood substance â   these affect the properties of air to a marvellous extent , interfering with it in all cases as a diathermic * medium , and increasing its power of absorption of radiant heat .	1868	bl602087
of ozone	smell	peculiar	When electrical or galvanic machines are in action , the peculiar smell of ozone is readily distinguished .	1861	bl605014
OZONE|ozein	odour		OZONE ( from ozein , to yield an odour ) , a name given in 1840 by M .	1866	bl605700
of all essential oils|of flowers|olefiant gas|sulphurous|ozone	vapour|scents		Gaseous bodies of all kinds do so , though to a very different extent ; the vapour of all essential oils â   in other words , all scents , whether of flowers or animals â   ammonia , olefiant gas , sulphurous acid gas , and , above all , ozone â   that singular and little understood substance â   these affect the properties of air to a marvellous extent , interfering in all cases with its perfection as a diathermic * medium , and increasing its power of absorption of radiant heat .	1867	bl605722
OZONE|ozein	odour		OZONE ( from ozein , to yield an odour ) , a name given in 1840 by M .	1866	bl601137
OZONE|ozein	odourl		OZONE ( from the Greek ozein , to yield an odourl , a name given in 1840 by M .	1868	bl607223
a|of hypochlorous acid and nitrogen peroxide|of the ozone	odor		Moissan compares to a mixture of hypochlorous acid and nitrogen peroxide , but this odor is usually masked by that of the ozone which it always produces in moist air , owing to its decomposition of the water vapor .	1890	ge1700
ozone|ozone|of ozone	odor|odor	very strong|unmistakable	If the product is chased out by a stream of nitrogen as soon as the dense cloud is formed , a very strong odor is perceived , different from that of either fluorine or ozone , but which soon gives place to the unmistakable odor of ozone .	1890	ge1700
the ozone	smell	strong	In October , when the lights are cool and white and the sea is an opal ; when you smell the ozone strong as violets , and at every turn of the road a cart confronts you , heaped with bronze seaweed and stuck with a couple of pikes that rise stark against the sky - line , to suggest the taking of the spoils .	1900	ge3485
of ozone	smell|odor	pungent	A curious snapping and crackling noise followed , becoming more rapid , and as it mounted in intensity I could smell a pungent odor of ozone which told of an electric discharge .	1856	ge1257
of ozone	odor	pungent	The pungent odor of ozone from the electric discharge filled the room .	1856	ge1257
of ozone	smell	strong	There appears to be a luminous layer of minute sparks under the foils , and there is a strong smell of ozone .	1884	ge726
ozone	odor		The distinguished physicist Schonbein first , if I may so say , isolated the substance which yielded the phenomena , and gave to it the name , by which it has since generally been known , of _ ozone _ , which means , to emit an odor ; a name , I have always thought , not particularly happy , but which has become , practically , so fully recognized and understood , that it would be wrong now to disturb it .	1884	ge4579
ozone	deodorization		I employed ozone medicinally , by having it inhaled by persons who were suffering from foetor of the breath , and with remarkable success , and I began to employ it and have employed it ever since ( that is to say , for thirty - seven years ) , for purposes of disinfection and deodorization , in close rooms , closets , and the like .	1884	ge4579
of ozone|bromine	smell	scarcely perceptible|far less disagreeable|more efficacious	The smell of ozone was scarcely perceptible , and was far less disagreeable than chlorine , bromine , and iodine , while it was more efficacious than either of these ; if , therefore , its application as a purifier of a vitiated air succeeded , it would probably supply all the exigences of defective ventilation in crowded atmospheres .	1884	ge4579
Ozone	odour		This consignment was placed in special chambers impregnated with Ozone for some days , and it was found that the odour had disappeared .	1934	lp1959
oxj ' gen gas|ozone	smelling|odor	peculiar|characteristic|odorless	bCuv , smelling ) has a peculiar and characteristic odor , while oxj ' gen gas is odorless ; ozone reacts much more readily with various substances ; it has bleaching and disinfectant properties not pos - sessed by oxygen gas , and it is much denser than oxygen .	1905	wi4010
of Ozone|Odorous|Odorous Plants	Odorous|Odorous		The Exhalation of Ozone bv Odorous Plants .	1886	wi4473
ozone	odour	peculiar	Schönbein investigated ozone , a gas of peculiar odour ( named from the Gr .	1911	wi4524
pure phosphorous oxide vapour|of phosphorus|of|of a|a mixture of the oxide with ozone	odour	odourless	It is probable , however , that pure phosphorous oxide vapour is odourless , and the odour of phosphorus as ordinarily perceived is that of a mixture of the oxide with ozone .	1911	wi23988
The|of ozone	smell		""""""" It would still retain the three dimensions of length , breadth and thickness , but would no longer exist in the present 52 AMAZING STORIES The metal bars glowed with a hellish light and the smell of ozone tickled the nostrils of the entranced watchers ."""		wi19892
of ozone	smell		52 AMAZING STORIES The metal bars glowed with a hellish light and the smell of ozone tickled the nostrils of the entranced watchers .		wi19892
of ozone	smell		The metal bars glowed with a hellish light and the smell of ozone tickled the nostrils of the entranced watchers .		wi19892
ozone	smell|odor	peculiar	You also sometimes smell a peculiar odor , due to a substance developed by the electricity , and called ozone .	1875	wi12343
Ozone	odor	pungent	Ozone possesses a pungent odor that frequently is discernible at the time of nearby lightning discharges and the passage of high - potential electric sparks .	1921	wi12437
of ozone	odor	pungent	At last he was ready to go ahead and I was glad of it , for the pungent odor of ozone from the electrical discharge was not adding to my physical comfort .	1914	wi75
the beautiful ozone	sniffing		I ' ve got the old roller at the door , and in an hour and a half we ' ll be on the Sussex downs sniffing the beautiful ozone and watching the baa lambs frisk and gambol .	1921	wi569
of ozone	odour	subtle	A subtle odour of ozone was in the air .	1911	wi17585
Ozone	perfumes		Ozone develops the energy of essential oils , and perfumes in turn determine by their oxidation in the air the production of ozone .	1892	wi17987
of mountain ozone	smell	genooine	Then you ' d have to lay in a tidy little stock o ' tea and pork and beans , and stuff of that breed , and then git hold o ' some good , enterprisin ' talker w ' at ' ul make a corrallin ' excursion in through the East and round up a couple o ' dozen nice congenial invalids hungerin ' for the genooine smell of mountain ozone and the simple eatin ' o ' the untootered cowboy .	1902	wi28812
ozone	smell		A phenomenon usually accompanying the passage of a stream of electricity from a point , or of the spark , is the conversion of a portion of atmospheric oxygen into its allotropic condition , ozone , which is easily perceived by the sense of smell .	1879	wi3133
of ozone|body|hydrogen|oxygen|nitrogen	whiff|odorless|odorless	slight|odorless|odorless	There was a slight whiff of ozone in the air , but since the principal gaseous components of his body were hydrogen , oxygen and nitrogen , which are equally colorless and odorless , there was no other manifestation of his departure .	1917	wi20300
ozone|of phosphorous .	odor	faint|garlic|garlic	Besides ozone , I noticed the faint , garlic - like odor of phosphorous .	1917	wi20300
It|of ozone	odor		It gives off , when rubbed , the characteristic odor of ozone .	1882	wi24770
of ozone	whiff		""""""" He is most interesting , a whiff of ozone , """" she answered ."""	1909	wi11080
of ozone	smell	perceptible	When the discharge takes place in the air a smell of ozone becomes perceptible ; many other chemical actions are also brought about by this action of points .		wi11351
sharp|sharp burned - leather|ozone	smell	sharp|sharp	He could tell of the sharp burned - leather and ozone smell in the air afterward , though , and did .	1934	wi11474
of ozone	odour	pungent	We had raced silently through the forest for nearly an hour , when , mingling with the balsam of the pines there came a pungent odour of ozone floating from open blue spaces beyond the sombre girdle of the pines .	1905	wi11847
of ozone	whiff	fresh	Looking at him , it was as if a whiff of ozone came to one ' s nostrils - - so fresh and young was he , so resplendent with health , so wildly wild .	1913	wi11943
ozone|its	smell	peculiar	Van Marum , toward the end of the last century , while experimenting with a powerful electrical machine , made the first observations on ozone , noticing its peculiar smell and its power of attacking mercury .	1879	wi6379
ozone	odor	sulphurous	Woodward , for instance , mentions a woman who foretold storms several hours before their coming , by the help of the sulphurous odor , due probably to ozone , which she perceived in the atmosphere .	1874	wi6388
ozone	odor		In 1840 Schönbein called the attention of the scientific world to the newly - discovered substance , to which he gave the name of ozone , from the Greek ὅ ἕ ω , to emit an odor .	1874	wi2229
ozone	odor		He furthermore pointed out that ozone may be produced by the slow oxidation of phosphorus in moist air or oxygen , and that the odor was similar to that which is observed during flashes of lightning .	1874	wi2229
— Ozone	odor	powerful|peculiar	— Ozone is a colorless gas , with a powerful and peculiar odor .	1874	wi2229
of ozone	odor|olfactories	very penetrating|perceptible	The odor of ozone is very penetrating ; air containing but one millionth of it is said to be perceptible to the olfactories .	1874	wi2229
of ozone	odor	peculiar	The peculiar odor of ozone can be obtained very easily indeed by touching a metallic electrode of a galvanic battery of a number of cells against one of the plates of the batteries so as to make a connection of the current , or by touching the metallic ends of the poles for a moment with the spark thus produced .	1874	wi2229
of ozone|from four ounces of highly - putrid|putrid|putrid flesh	effluvia|putrid|putrid|putrid	putrid|putrid|putrid	According to Schönbein , air containing but of ozone is capable of disinfecting its own volume of air filled with the effluvia , evolved in one minute , from four ounces of highly - putrid flesh .	1874	wi2229
Ozone|matter	putrid|putrid	putrid|putrid	Ozone , in disinfecting and purifying decaying and putrid matter , is itself destroyed .	1874	wi2229
of ozone	smell|fetid|fetid	welcome|almost fetid|fetid	He turned a switch and the peculiar bluish effulgence , which always appears when a Crookes ' tube is being used , burst forth , accompanied by the droning of his induction - coil and the welcome smell of ozone produced by the electrical discharge in the almost fetid air of the tomb .	1914	wi5022
of ozone	odour	strong	On the contrary , a strong odour of ozone is detected when the jar is opened .	1904	wi5201
of electrified oxygen or ozone	odor		The crackling occasioned sometimes by slow electric discharges and the odor of electrified oxygen or ozone are quite analogous .	1884	wi5744
of ozone	whiff	the mildest , softest	Each morning I had watched the sea - breeze begin at the shore and slowly extend seaward as it blew the mildest , softest whiff of ozone to the land .	1919	wi7578
of ozone	odor	peculiar	The crackling noise of electrical dis - charges was continuous and the peculiar odor of ozone filled the air .		wi14006
of ozone	odour		A dark violet fluor - spar from Wölsendorf in Bavaria , evolves an odour of ozone when struck , and has been called antozonite .	1911	wi14308
of tonic ozone	sniff		There still he finds a sniff of tonic ozone in the air , expanding the exultant spirit while yet the body revels in a genial glow .		wi10342
of ozone	smell	peculiar acid	The air was filled with the peculiar acid smell of ozone .	1892	wi10858
substance|of ozone	odors|odoriferous|odoriferous|odor|odor	such|odoriferous|odoriferous|disagreeable	When in not too great concentration such odors are , it is true , overcome , though it is quite probable that their disappearance is due , not to an actual destruction of the odoriferous substance , but partly to a replacement of the disagreeable odor by the odor of ozone and partly to fatigue or anesthesia of the olfactory membrane of the nose .	1914	wi27401
ozone|its	odour	peculiar	It has been shown that the change consists in the conversion of the oxygen into an allotropic modification w ? hich has received the name of ozone ( ow ) in allusion to its peculiar odour ; and from Sir Benjamin Brodie s experiments ( If .	1878	wi21349
Ozone	odour	peculiar unpleasant	Ozone is a colourless gas of peculiar unpleasant odour ; 100 volumes of water at C .	1878	wi21349
Ozone|its	oxidizing		Ozone is chiefly remarkable , however , on account of its oxidizing power .	1878	wi21349
of ozone	smell	strong|perceptible	In contact with ice , fluorine evaporates until the temperature rises , when the ice is attacked , a strong smell of ozone being - perceptible .	1897	jw268744
ozone	perfume	fragrant	, exhibit a variety of fancy perfumery , and the fragrant ozone perfume .	1895	jw2618009
the hair|of ozone	odor	specific	In the paroxysms of hysteroepilepsy the hair sometimes has a specific odor of ozone .	1901	jw2618189
Oxyuris|487 Ozaena|Ozone|of sometbing	odour|smell	offensive	"""813 Opium , 755 Orbicularis palpebrarum muscle ( a broad thin oval muscle , which surrounds the orbit and is used in closing the eyelids ) , 253 Orchiocele ( Â ° pxea , scrotum , and Kt \ \ n , rupture ; scrotal hernia ) Orcbitis ( o9x """" t , testicle ; inflamma - tion of the testicle ) , 554 Ossification ( os , ossis , a bone , and facere , to make ) , 631 Osteoid Cancer , 236 Otitis Media , acute , 374 ; media purulenta , 378 ; cbronic , 379 Otorrbcea , 378 ; Carbolic Acid in , 379 Ovarian Neuralgia , 329 Over - dose of medicine , 791 Over - exertion , 659 Overloading the stomaob , 470 Oxalic Acid , 546 Oxyuris vermicularis , 487 Ozaena ( oCn , an offensive odour ; a foetid ulcer in the nose ) , 386 Ozone ( ofw , I smell of sometbing ; a modification of oxygen ) , 149 Pack , wet , 100 ; in Rheumatism , 219 ; in Typhus - fever , 156 Pain , its indications , 72 Painter ' s Colic , 505 ; Paralysis , 306 Palpitation , 395 ; disease of the heart and , 395 ; causes , 396 ; treatment , 396 ; accessories , 398 Palsy , sec Paralysis Papillae ( papilla , pi ."""	1883	jw2614087
It|it ozone|its	odour	peculiar	It received its name from its discoverer , Schonbein , who called it ozone , in conse - quence of its peculiar odour { oZ .	1871	jw2614542
of ozone	smell	very obvious	Ozonised air or oxygen may be obtained by placing one or two sticks of clean moist phosphorus in a bottle of air or oxygen , when , after an hour or so , the smell of ozone will be very obvious .	1869	jw2614698
pure or atmospheric oxygen|matter|ozone	odoriferous|odoriferous	odoriferous|odoriferous	His experiments and the investigations of De la Rive , Marignac , Ber - zelins , Erdmann , and Marchand , prove that pure or atmospheric oxygen , on being expose ! to tiie actioir of electrical sparks , is transformed into an odoriferous matter , which he calls ozone ; declared by them to be nothing but an allotropic modificatiim of oxygen .	1852	jw2614738
ozone	oxidizing	the most powerful	Be this as it may , ozone is found to be one of the most powerful oxidizing agents yet known .	1852	jw2614738
its|ozone	odour|odour|odour|odour	peculiar|same	At the close of the eighteenth century Van Marum observed a peculiar odour whilst working his great electrical machine at Haarlem ; and in 1840 the Swiss chemist , Schonbein , showed that when electric sparks are passed through oxygen , or buildings are struck by lightning , the same odour is observed ; and it has been found that the odour is due to a modification of oxygen , to which , on account of its odour , the name of ozone has been given .	1906	jw261191
ozone	odour		This odour is attributed to the formation of ozone , a pecidiar modification of oxygen , first discovered by Schonbein in 1840 .	1874	jw261307
Ozone|its	oxid|izing	exceedingly powerful	Ozone owes its great value as a disinfecting agent to its exceedingly powerful oxid - izing qualities .	1887	jw261675
ozone	odour	peculiar|much denser	A peculiar modification of oxygen , known as Ozone , is pro - duced under certain circumstances , as when a succession of electric sparks is passed through air , or through oxygen , a large portion of the oxygen is converted into ozone , which has a peculiar odour , is much denser than oxygen , and seems to be a more active form of this gas ; it can be formed by other means , and in the course of the slow oxidation of phosphorus and other substances , is produced in small quantities .	1864	jw2611176
of ozone	smell		Abraham and Marmier do not use a greater concen - tration than 2 to 3 per cent , thereby avoiding giving to the water the taste or smell of ozone .	1904	jw2611180
Ozone|gen	odour	very remarkable pungent	Ozone , whether it be a polarised condition of oxygen , of oxy - gen combined with itself , or in some other state , possesses a very remarkable pungent odour .	1867	jw2611940
ozone	odour|smell		Schonbein in 1840 investigated the subject and gave to the substance , which is the cause of this odour , the name ozone ( from o ^ eiv , to smell ) .	1884	jw2617050
Ozone	odour		â   Ozone is a colourless gas possessing an odour somewhat resembling that of chlorine .	1884	jw2617050
its|ozone	smell|smell	strong	When an electric discharge is passed through oxygen , or when the element is liberated by the action of fluorine on water , a portion of it is changed to an allotropic form , which from its strong smell has been named ozone ( o ^ eiv , to smell ) .	1891	jw2617206
these elements|of fluorine|of ozone	smell|smell	strong disagreeable	â   In tbe gaseous state these elements have all a strong disagreeable smell ; that of fluorine , however , is the smell of ozone , for it acts on the moisture in the nose , liberating ozone .	1891	jw2617206
